AAAAABCCRS;1
AAAABCENRS;6
AAAABCLLSV;
AAAABCLMNS;
AAAABEMPRT;
AAAABGKORY;7
AAAABGNNSU;
AAAABIKLLS;
AAAABJLMSY;
AAAACCHMST;
AAAACCHRRS;
AAAACCILPR;
AAAACDIMMS;
AAAACDJNRS;
AAAACDMMRT;8
AAAACEHNPS;
AAAACEIMPR;
AAAACGILST;
AAAACHILSS;
AAAACHKKLS;
AAAACHSSUY;
AAAACILPST;10
AAAACINRRU;
AAAACIRRSU;
AAAACLMNRT;11
AAAACLRRSZ;
AAAACMNRST;11
AAAADEMNNT;
AAAADHMRSZ;
AAAAEEGLOP;15
AAAAEGLMMT;13,16
AAAAEHMNTT;
AAAAELMMNT;
AAAAELMNQU;18
AAAAGHRSTY;21
AAAAGLPRST;
AAAAGMSSSU;23
AAAAHHJMRS;
AAAAHIPPRS;26
AAAAHKPPSW;
AAAAHMNRST;
AAAAHNSSSV;
AAAAIKKKSW;
AAAAIKKPWW;29
AAAAILLPRS;
AAAAILNPSS;
AAAAILNRTT;30
AAAAIMRSSU;
AAAALMNRSZ;32
AAAALPRSTT;33
AAAAMNPRSY;
AAAAMPRRTT;34
AAAAMPRSTT;34
AAAANRRSTT;
AAAARRSSSS;
AAABBCIJOT;37
AAABBCILST;38
AAABBEILMT;
AAABBINRRS;
AAABCCHHRS;
AAABCCHLNS;
AAABCCHNRS;
AAABCCKNSV;40
AAABCCLMTU;
AAABCDEIRS;43,44
AAABCDELNR;45
AAABCDIIST;
AAABCDRRSU;
AAABCEHLSS;
AAABCEHLTT;
AAABCEILRT;
AAABCEKLTT;
AAABCELLLR;55
AAABCELRTU;
AAABCELSTT;
AAABCEMRST;
AAABCENRSS;6
AAABCERSSU;
AAABCHILNR;
AAABCHINRT;49,57
AAABCHNRSU;
AAABCIQSTU;
AAABCKNNST;
AAABCLLMRU;
AAABCLMORS;
AAABCLNOST;
AAABCNORRS;
AAABCORRTU;63
AAABDEEGLM;
AAABDEEHHS;64
AAABDEEHHY;64
AAABDEGRSV;
AAABDEHLRZ;
AAABDEILNN;66
AAABDEILNT;67,68
AAABDENRSS;
AAABDGINST;
AAABDHHISY;
AAABDILLSS;
AAABDINNST;
AAABDMNRRU;75
AAABDMORSS;76
AAABDOQRSU;
AAABDORRST;
AAABEEGLMN;
AAABEELLPP;
AAABEELPPS;
AAABEGGMNR;
AAABEGHLLS;
AAABEGIMNR;80
AAABEGLMNY;
AAABEGMSSS;
AAABEGRSUY;
AAABEHLNPT;79,83
AAABEILLSS;
AAABEILMNS;
AAABEILNTT;
AAABEINPST;69,90,91
AAABEINPTZ;70,91
AAABEKPRRS;
AAABEKRSWY;
AAABELLMSZ;
AAABELLNSY;
AAABELLNYZ;
AAABELLRST;93
AAABELMSTT;
AAABELNRRT;96
AAABELRSST;93,97
AAABELRSTW;97
AAABGGILNY;
AAABGHILLS;99
AAABGHILLY;99
AAABGHILSY;99
AAABGHINRS;100
AAABGILLSY;99
AAABGINRSS;100
AAABGLORRS;
AAABHIOPQU;103
AAABHKMRTU;105
AAABHLRSST;
AAABHLRSTZ;
AAABIILRRT;
AAABILLNOS;108
AAABILLRSY;
AAABIMNPST;110
AAABINPSTT;112
AAABJLMNOS;
AAABLMOSTT;
AAABLPRSST;
AAABMNRSTU;
AAABMORRTU;116
AAABRRSSWY;
AAACCCIORT;
AAACCCJKKR;123
AAACCDDELV;
AAACCDEILM;126
AAACCDELSV;
AAACCDHMNS;
AAACCDIILR;
AAACCDRSSU;
AAACCEHIMS;
AAACCEHNNT;133
AAACCEHRSS;135,136
AAACCEHRST;124,136
AAACCEIILR;137
AAACCEIPTT;127,139,140
AAACCELNSV;
AAACCELSST;
AAACCENOSU;
AAACCENRSV;
AAACCHILNR;144
AAACCHKKMT;147
AAACCHKMST;147
AAACCHNNRS;
AAACCHPRTT;149
AAACCILLNT;
AAACCILLRS;152
AAACCILLSU;
AAACCILNST;
AAACCILSST;
AAACCIMORT;159
AAACCIPRTT;
AAACCIRRTU;157,160
AAACCIRSTT;
AAACCLMNOS;141
AAACCLMSST;
AAACCMOPRR;164
AAACDEHLNV;
AAACDEHRRS;
AAACDEHRSZ;
AAACDEIMMS;167,173,175,176
AAACDEIMMZ;168,174,176
AAACDEIMNS;
AAACDEINRS;
AAACDELMNR;179
AAACDENNRV;
AAACDFIINO;180
AAACDGGHIL;
AAACDGIILR;181
AAACDHIKST;
AAACDHINNR;184
AAACDHNRSS;
AAACDIINRS;
AAACDIIPRS;187
AAACDIKLSY;
AAACDILMRT;
AAACDILNRS;
AAACDILRTY;
AAACDIMNRU;190
AAACDLMRSU;
AAACEEGNNR;193,194
AAACEENPPR;197
AAACEENRRV;198
AAACEENRSS;
AAACEFLQTU;200
AAACEGHLPR;204
AAACEHIMNU;
AAACEHLNPS;
AAACEHLNSV;
AAACEILMNT;213
AAACEILMRS;
AAACEIMOPR;
AAACEIMSTT;
AAACEINNRT;
AAACEINPRS;217,218
AAACEINPST;218
AAACEINRRS;219
AAACEINRSS;211,217,219
AAACEIRSSS;
AAACEJKNPS;
AAACELLNPT;
AAACELMPRT;224,225
AAACELPSTY;
AAACELRSST;
AAACEMRSSU;
AAACENNRRV;228
AAACENRRSV;198,228
AAACEPQSSU;
AAACESSSTT;
AAACFMNORU;202,235
AAACGGILNO;236
AAACGGILOP;237
AAACGHNRTT;243
AAACGILLMY;
AAACGILLNO;236
AAACGILLNV;
AAACGILMRT;245,247
AAACGILRSS;
AAACGILSSU;
AAACGIMNRS;
AAACGINNRV;249,250
AAACGLLSSW;
AAACHHMNST;
AAACHIISST;
AAACHIMNRT;262
AAACHIMNST;262
AAACHIMNSU;
AAACHIMRST;262
AAACHIPPRS;
AAACHISSTU;263
AAACHJOPRS;
AAACHKPRRS;
AAACHLMNST;
AAACHLMOST;
AAACHLNOTU;259
AAACHLNRST;
AAACHLPRRS;
AAACHNPRTY;266
AAACHNPSTY;266
AAACHNRSST;
AAACHOPRST;
AAACHOSSUY;
AAACHQTUUU;267
AAACIIRSSS;
AAACIKLRTU;
AAACILLMNU;271
AAACILLMNY;212
AAACILLMRS;
AAACILLNTY;59,229,244,276
AAACILMMNO;
AAACILMNOT;155
AAACILNPST;
AAACILNRSS;286,287
AAACILNRST;275,287
AAACILORRT;289
AAACIMMORZ;290
AAACINNPRT;
AAACINOPRS;
AAACINOSTT;
AAACINRRTT;294
AAACINRSSU;
AAACISSSTT;
AAACLMNPRU;
AAACLMNPSU;
AAACLMNRTU;296
AAACLMNRVY;
AAACLMPSST;282
AAACLRTUUV;
AAACMNNRTT;297
AAACMRSTUX;
AAACNORSSU;
AAACNRTTTT;298
AAADDEGNTV;
AAADDEIMNN;300
AAADDELMPT;
AAADDELNOT;301
AAADDELPSY;
