AA;15,19,22,51,52,87,88,89,92,94,96,99,105
AB;210
AD;418
AE;434
AF;
AG;
AH;721
AI;145,160,262,581,623,639,643,768,816
AJ;25,53,336,434,480,840,841,848,853
AK;212,246,268,277,714,715,858
AL;858,859,918,925,932
AM;
AN;858,870,875,918,922,924,997,998,1017
AP;90
AR;94,97,1082
AS;841
AT;
AW;
AX;305,749,768,851,997
AY;
AZ;86,210,613,765,782,792,810,822,833,852,853,954,989,1021,1076,1082
BE;1125,1127,1182,1189,1190,1194,1224
BI;152,1125,1128,1183,1189,1190,1280
BO;1366
BY;1296,1325
CH;1129,1502,1522,1524,1526,1535,1536,1537,1538,1539
DE;
DI;1825,1854
DO;1853
EE;
EF;
EH;1167,1179,1970,1980,2159
EL;2163
EM;1195,1439,1448,1463,2205,2292,2392,2402,2403
EN;1467,2341
EO;526,2238,2435
EP;1224,2274,2465
ER;
ES;2282
ET;
EW;1446,2265
EX;1190,1418,2236,2281
EY;1463,2377
EZ;1437,1473,2263,2389,2403,2435,2459
FI;580,1490,1492,2559,2567,2588
FO;1490,1494,2576,2596,2632
FY;2531,2573,2600,2615,2650
GI;33,643
GO;2728,2774
GU;1504,2728
HI;2559,2804,2810,2827,2834,2835
HM;2860,2869
HO;2838
HS;1272,1536,1819,2677,2847,2857,2868,2875,2900,2904,2906,2907
HU;574,721,729,1522,1533,1535,1536,1538,2522,2564,2839,2846,2847,2848,2856,2857,2889,2892,2904,2906
IK;1280,2911
IL;1510,1553,2804,2913,2914,3010,3016
IM;2205,2227,2526,3035,3046,3047,3049
IN;
IO;262,770,811,1398,1490,1562,1563,1564,1565,1664,1781,1851,1852,1853,1854,2238,2239,2586,2938,3091,3092,3093,3095,3096
IP;
IQ;378,816,1858,2559,3035,3100,3114,3115
IS;3133
IT;3028,3049,3135
IX;768,791,1190,1564,1825,1854,1872,2222
JO;770,841,1577,1578,1579,1873,1874,2836,2837,2929,2935,2939,3141,3142,3149,3154,3156
KO;1386,1402,1521,1577,1580,1582,1585,1589,1880,2533,2596,2725,2838,2842,3141,3162,3165,3169,3175,3193
KY;1549,1879,2573,2963,2969
LO;589,725,859,904,918,2596,2838,3222,3226
MM;
MO;
MU;3035,3348
MY;1742,2377,2392,2400,2402,2869,3018,3040,3049,3050,3336
NO;81,918,995,998,3226,3246,3363
NU;519,875,1017,1018,1467,1623,2299,3393
NY;1879,1913,1917,1918,2769,3151,3253,3254,3385,3392,3393
OO;3141,3162
OP;2759,2775,3365
OR;3093,3431,3446
OS;605,841,2537
OT;
OU;1121,1341,1366,1533,1579,1623,2238,3350,3410
OW;
OX;969,3029,3443
OY;1032,3089,3398,3411,3419,3431
OZ;1366,2412,2449,2459,2462,2641,3093,3185,3208,3370
PU;90,845,885,1060,2274,2311,2465,2541,3209
RU;97,847,890,1077,1078,2846,2968,3214,3480
ST;
SU;1500,1536,1609,2610,2802,2857,3289,3290
TU;1958,2543,2650,2651,3291,3493,3494
UX;554,620,1375,1654,2281,3393,3443
UY;1538,1876,1897,1918,1958,2650,3253,3392,3393,3493,3495
