AA;ATT,AYY,EOZ,JQQ,TZZ
AB;IIV
AD;
AE;
AF;
AG;
AH;UZZ
AI;BCE,BEZ,EEY
AJ;ACL,ANZ,AQQ,CNO,CNU,DNU,DSU,ELV,LOU
AK;
AL;
AM;
AN;
AP;
AR;
AS;
AT;AZZ
AW;
AX;ADD,DIO,GIN,INU,INY
AY;
AZ;ABI,ABR,AHM,AIM,AKT,ALR,AMT,ATZ,FHI,HUZ,KMU,KNR,KNU,KRY,MTU,NRU,RUY
BE;FFU,IMU
BI;AAC,AIV,CCU,CCY,CPU,VVY
BO;
BY;BIL,BIR,CCI,DDI,FFI,FLY,GGI,GIL,IKR,ILL,ILM,ITT,IVV,IZZ
CH;CLU,CTW,DNU,DNY,FFU,HNU,LNU,NPU,NSY,PSY,RTW
DE;
DI;OOZ,OWW
DO;
EE;QUU
EF;
EH;EEZ
EL;
EM;BIX
EN;
EO;IZZ
EP;
ER;
ES;
ET;
EW;
EX;CIM,EEM,IIP
EY;IJV
EZ;IOW,IOZ
FI;AAC,AAM,ACM,OQU
FO;
FY;BBU,BFU,BSU,DDU,DGU,DNU,FFU,FHU,FPU,GGI,GGU,HIS,IMT,INN,INT,INU,IST,ITW,IZZ,KNU,NNU,SSU,UZZ
GI;
GO;
GU;
HI;FFW
HM;LPY,RRY
HO;KKU,LLU
HS;FFU,UUW
HU;ACV,AQS,ARR,ARU,ARW,AZZ,CCL,KKO,RRY,RUU,SUW,YZZ
IK;BBI,JMU
IL;CIV,CIY,CXY,HRW
IM;JKU
IN;
IO;ADI,ADU,ADZ,ARX,CCC,CEV,CQU,DEJ,DOZ,DWW,EFF,EFX,EOR,ERR,ETZ,EZZ,FQU,QTU
IP;
IQ;ABL,AFR,AKP,CHU,CKU,COU,EFU,ERU,FFU,FOU,KRU,LLU
IS;
IT;IMM
IX;ADR,AEJ,AOR,ARV,AUW,BLO,CER,CLY,DEE,KLY
JO;ACN,ADH,AHK,AMN,AOP,NPU
KO;
KY;DDI,ILM,ILT,ILX,ITT
LO;
MM;
MO;
MU;IJK
MY;DDI,DIS,EER,EHR,ERR,FFI,HIS,HRR,IJP,IPW,ISS,IZZ,STY
NO;
NU;EEQ,EEV,EQY,KOQ
NY;BBU,BGU,BJU,BNU,CDH,CHL,CRU,FKU,FNU,GGU,GKU,GNU,HKU,JKU,NNU,NRU
OO;
OP;
OR;
OS;
OT;
OU;ACG,AGN,AIJ,BEG,BGH,BIJ,CEG,CIQ,EGG,EGV,GHH,INQ
OW;
OX;AIR,ART
OY;IRV,PPP,PZZ
OZ;BIZ,BRT,EEW,EIK,EIW,EIZ,GIN,GNY,TUY,TWY
PU;
RU;AHI,AHR,AHU,AIQ,AIR,HUU
ST;
SU;CZZ,FFF,FFH,LLL
TU;
UX;AIN,AIW,BNO,CHO,ENS,ERS,FIN
UY;CDD,CIJ,CLL,CLT,CTT,DDD,DDF,DDW,FFF,FFH,FIN,FLL,FNN,FZZ,HLL,HZZ,JTT,LVV,NNN,TTT,TTV
