AA;11,12,184,331,484
AB;676
AD;
AE;
AF;
AG;
AH;2578
AI;515,594,1606
AJ;92,329,331,1099,1100,1487,1488,1845,2786
AK;
AL;
AM;
AN;
AP;
AR;
AS;
AT;484
AW;
AX;120,1466,2294,2733,2734
AY;
AZ;41,67,279,314,360,396,423,484,2132,2578,2845,2858,2865,2901,3111,3162,3278
BE;3554,3600
BI;20,676,3357,3358,3397,3880
BO;
BY;3332,3334,3358,3426,3726,3738,3748,3759,3820,3825,3830,3879,3880,3881
CH;4023,4030,4104,4105,4401,4466,4521,4540,4542,4558,4561
DE;
DI;5465,5476
DO;
EE;5921
EF;
EH;5633
EL;
EM;3601
EN;
EO;6529
EP;
ER;
ES;
ET;
EW;
EX;4272,5646,6367
EY;6377
EZ;6528,6529
FI;83,197,973,7201
FO;
FY;3323,3732,3745,4856,5307,5321,7066,7077,7104,7107,7109,7141,7192,7193,7198,7200,7214,7215,7216,7223,7254,7294,7298
GI;
GO;
GU;
HI;7073
HM;7683,7725
HO;7658,7678
HS;7076,7800
HU;1057,2557,2558,2565,2566,2578,4023,7658,7791,7796,7800,7801
IK;3329,7844
IL;4565,4566,4616,7604
IM;7844
IN;
IO;1433,1464,1467,2739,4002,4280,4643,5069,5465,5476,5957,6005,6513,6517,6526,6529,7201,8124
IP;
IQ;686,2151,2618,4500,4587,4643,6007,6551,7087,7201,7908,7926
IS;
IT;7820
IX;1475,1796,2739,2766,2781,3836,4288,4616,4919,7882
JO;1099,1413,2472,2790,2799,8206
KO;
KY;4862,7869,7881,7882,7918
LO;
MM;
MO;
MU;7844
MY;4864,5448,5863,6303,6848,7083,7614,7725,7850,8035,8047,8052,8501
NO;
NU;5877,5895,6902,8262
NY;3346,3777,3884,3942,4105,4522,4768,7223,7254,7316,7452,7509,7667,8191,8504,8512
OO;
OP;
OR;
OS;
OT;
OU;1000,2368,2595,3574,3753,3811,4205,4643,6101,6215,7327,8074
OW;
OX;2739,3211
OY;8132,8594,8620
OZ;3865,3975,5903,6395,6528,6529,7411,7526,8650,8651
PU;
RU;2465,2558,2565,2754,2757,7796
ST;
SU;4811,7065,7076,8311
TU;
UX;2733,2781,3949,4557,6922,7041,7199
UY;4061,4573,4706,4735,4812,4816,4856,4888,7066,7077,7200,7230,7254,7298,7681,7801,8216,8419,8504,8681,8682
