AA;PZZZ
AB;
AD;
AE;
AF;
AG;
AH;
AI;BBEY,BCCU,BZZZ,CEGU,EGUZ
AJ;AACN,ACOU,CELO
AK;
AL;
AM;
AN;
AP;
AR;
AS;
AT;
AW;
AX;ABJN,ADHN,BOUY
AY;
AZ;AKUY,AMMU,BHIM,FIMU,HLTU,QUYZ
BE;IQUU
BI;ACKP,AIKK,EEHP,EPPU,EQUU
BO;
BY;CDIR,CHIT,DHIR
CH;
DE;
DI;
DO;
EE;AOUU
EF;
EH;
EL;
EM;BBII
EN;
EO;AEUU
EP;
ER;
ES;
ET;
EW;
EX;BBEM,GNPU
EY;
EZ;CIUZ,IIVZ
FI;ACPY,HMUY,IVVY
FO;
FY;CHIT,CIIT,CITY,DIIN,FNSU,GIIN,IIMN,IINV,IITX,IIVV,IPTY
GI;
GO;
GU;
HI;
HM;
HO;
HS;CRTW
HU;
IK;KUUY
IL;CCCY,CQUY
IM;
IN;
IO;AARR,ARRU,DEIZ
IP;
IQ;BEUU,CELU,CLUY,LORU
IS;
IT;
IX;ADEU,AERW,AEUV,BJOU
JO;AANN
KO;
KY;
LO;
MM;
MO;
MU;
MY;IKPS
NO;
NU;EOVW
NY;BCHU,BRUU,GHRU
OO;EKQU
OP;
OR;
OS;
OT;
OU;ABGI,AEEU,AEVZ,AGHQ,EGHN,ENVW,GHOQ,GJNO
OW;
OX;
OY;
OZ;FGIT
PU;
RU;
ST;CHRW
SU;
TU;
UX;ABOY,BFIS,BIJO,CEES,EEQY,EFIR,EGNP,FFIS
UY;CILQ
