AA;1261
AB;
AD;
AE;
AF;
AG;
AH;
AI;1310,1364,1964,2391,4509
AJ;26,385,2481
AK;
AL;
AM;
AN;
AP;
AR;
AS;
AT;
AW;
AX;209,501,2088
AY;
AZ;1075,1164,1865,5573,6190,7187
BE;8084
BI;1419,1896,7808,8080,8084
BO;
BY;7395,7464,7725
CH;
DE;
DI;
DO;
EE;4277
EF;
EH;
EL;
EM;7285
EN;
EO;4277
EP;
ER;
ES;
ET;
EW;
EX;7270,13519
EY;
EZ;9474,13911
FI;2647,15278,15317
FO;
FY;9716,9723,9736,11756,15220,15242,15309,15313,15316,15317,15382
GI;
GO;
GU;
HI;
HM;
HO;
HS;9943
HU;
IK;16315
IL;8586,10027
IM;
IN;
IO;997,6601,11210
IP;
IQ;8084,9384,10027,16459
IS;
IT;
IX;3523,4932,4949,8404
JO;1022
KO;
KY;
LO;
MM;
MO;
MU;
MY;16349
NO;
NU;14972
NY;7468,8550,15572
OO;14541
OP;
OR;
OS;
OT;
OU;1839,4277,5373,5755,13282,14972,15574,15821
OW;
OX;
OY;
OZ;15258
PU;
RU;
ST;9943
SU;
TU;
UX;2088,8283,8404,9169,12891,13082,13519,15211
UY;10027
