AAB;B,C,L,R,S,Y
AAC;B,C,I,M,P,R,S,T,V,W
AAF;H,J,L,N,R,S,V
AAG;G,H,I,J,L,M,N,R,S
AAH;F,G,H,K,M,R,S,T,W,Y
AAI;C,D,G,M,R,S
AAK;H,K,L,M,N,P,R,S,T,V,W
AAL;B,D,E,F,G,K,M,N,P,R,S,T,U,V,X,Y
AAM;C,G,H,I,K,L,M,N,R,S,T,Y
AAN;D,F,G,K,L,M,N,O,P,R,S,T,Z
AAS;B,C,E,F,G,H,I,K,L,M,N,R,U,V
AAU;L,P,Q,R,S,T
AAV;C,F,J,K,L,R,S,T
AAW;C,D,H,K,P,T,W,Y
ABB;A,E,L,O,R,S,U,Y
ABC;A,H,K,N,R,S
ABD;E,I,L,N,O,R,S,U,W
ABE;B,D,K,L,M,N,P,R,S,T,U,Y
ABF;F,L,R,S,T
ABG;H,I,L,M,N,R,S,Y
ABH;C,G,I,L,S,T,U
ABJ;M,S,U
ABK;C,E,L,N,O,R,S,U,W
ABL;A,B,D,E,F,G,H,I,K,L,M,O,S,T,U,W,Y
ABM;E,G,I,J,L,O,R,S
ABN;C,D,E,G,I,K,O,R,S,T,U,W
ABO;B,D,I,K,L,M,N,R,S,T
ABP;E,R,S,U
ABR;A,B,C,D,E,F,G,I,K,M,N,O,P,S,T,U,W,Y
ABS;A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,W,Y
ABT;E,F,H,I,L,N,O,R,S,T,U,Y
ABW;D,K,L,N,R,S
ABY;A,B,E,G,L,R,S,T
ACD;E,H,I,K,L,O,R,S
ACE;C,D,F,G,H,K,L,M,N,P,R,S,T,V
ACF;E,F,L,S,T,U
ACG;E,H,L,N,R,S,Y
ACH;B,D,E,G,I,K,L,M,N,O,P,R,S,T,V,W,Y,Z
ACL;D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,W,X,Y
ACM;A,E,H,I,K,L,O,P,R,S,U,Y
ACN;B,E,G,H,I,L,N,R,S,T,Y
ACO;C,D,H,I,L,M,P,R,S,T,X
ACP;A,E,H,I,K,L,M,O,R,S,T,U,Y
ACR;A,B,D,E,G,H,I,K,L,M,N,O,P,R,S,T,W,Y,Z
ACS;A,B,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,V,W,Y
ACT;A,E,F,H,K,L,N,O,P,R,S,T
ACV;A,E,H,S,Y
ACW;A,H,K,L,R,S
ACY;G,H,K,L,M,N,P,R,S,U,V
ACZ;H,K,R
ADD;A,E,O,R,S,U,W,Y
ADE;B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,S,T,V,W,X,Y,Z
ADF;E,F,N,O,R,S,T,Y
ADG;E,I,L,N,O,R,S,U,W
ADH;C,E,J,K,L,N,O,R,S,U
ADI;A,B,C,E,G,K,L,M,P,Q,R,S,T,V,W,Y
ADK;C,E,H,I,N,R,S,U,W
ADL;A,B,C,E,G,H,I,N,O,R,S,T,U,W,Y
ADM;E,I,N,P,R,S,U,W
ADN;A,B,E,F,G,H,K,L,M,O,P,R,S,T,U,W
ADO;B,C,D,E,F,G,H,L,N,P,R,S,T,W
ADP;E,I,M,N,O,R,S
ADR;B,C,D,E,F,G,H,I,K,L,M,N,O,P,S,T,U,W,Y
ADS;B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,W,Y
ADT;A,E,F,I,L,N,O,R,S,U,W
ADW;A,B,D,E,G,I,K,L,M,N,O,R,S,T,Y
ADY;D,E,F,I,L,R,S,U,V,W
ADZ;E
AEF;C,D,K,L,M,N,R,S,T,V,Z
AEG;C,D,E,G,L,M,N,P,R,S,T,U,V,W,Y,Z
AEH;C,D,K,L,M,N,P,R,S,T,V,W,Y,Z
AEK;B,C,D,E,F,H,I,J,K,L,M,N,P,R,S,T,W
AEL;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,V,W,X,Y,Z
AEM;B,C,D,F,G,H,I,K,L,M,N,R,S,T,W,X,Z
AEN;B,C,D,F,G,H,I,J,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
AEP;B,C,D,G,H,J,K,L,N,P,R,S,T,V,X
AER;A,B,C,D,F,G,H,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
AES;A,B,C,D,E,F,G,H,K,L,M,N,P,R,S,T,U,V,W,X,Y,Z
AET;B,C,D,F,G,H,J,K,L,M,N,O,P,R,S,T,W,Y,Z
AEU;B,G,N,R,S,V,X
AEV;C,D,E,F,G,H,I,L,N,P,R,S,U,W
AEW;D,E,G,H,K,L,M,N,R,S,T,V,W
AEX;D,L,M,P,S,U
AEY;B,D,G,H,L,N,R,S,T
AEZ;D,F,G,H,L,M,N,O,R,S,T
AFF;B,C,D,F,G,H,N,O,R,W,Y
AFG;F,L,N,O,R,S
AFH;A,F,K,L,S,T,U
AFK;E,H,I,L,N,S,W
AFL;A,B,C,E,G,H,I,K,L,M,N,O,P,R,S,T,U,W,X,Y
AFN;A,D,E,F,G,I,K,L,O,S,U,W
AFO;D,F,G,L,M,N,R,S,Y
AFP;L,R
AFR;A,B,D,E,F,G,I,L,M,O,P,S,T,U,Y,Z
AFS;A,B,C,D,E,G,H,K,L,N,O,R,T,U,W,Y
AFT;B,C,D,E,H,I,L,R,S,U,W
AFU;C,H,L,N,R,S,T,X
AFW;F,I,K,L,N,Q,S,T,Y
AFX;I,L,U
AFY;D,F,L,O,R,S,W
AGG;A,E,H,I,J,M,N,O,R,S,U
AGH;A,B,C,G,N,R,S,T,U
AGJ;A,G,O,S,U
AGK;N,O,S,U,W
AGL;A,B,C,D,E,F,I,L,M,N,O,S,U,Y
AGM;A,B,E,G,I,L,N,O,P,R,S,U,Y
AGN;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,Y
AGO;D,F,G,I,J,K,L,M,N,P,R,S,T,Y
AGP;E,M,N,O,S,U,W,Y
AGR;A,B,C,D,E,F,G,H,I,M,N,O,S,T,U,V,Y
AGS;A,B,C,D,E,F,G,H,J,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
AGT;E,H,I,N,O,R,S
AGU;D,E,G,H,J,K,L,M,N,P,Q,R,S,Y
AGV;E,I,N,R,S
AGW;D,E,K,N,P,S
AGY;B,C,E,I,L,M,N,O,P,R,S,U,Z
AGZ;E,S,Y
AHH;A,O,S,T
AHI;B,C,J,K,L,M,N,O,R,S,U,Y
AHJ;D,I,J
AHL;B,C,D,E,F,I,K,L,M,O,R,S,T,U,Y
AHM;A,C,E,I,L,O,R,S,T,U,W
AHN;C,D,E,G,I,K,O,R,S,T,U,W,Y
AHO;C,D,H,I,K,L,M,N,P,R,S,T,W,X,Y
AHP;C,E,K,O,R,S,T,U,W
AHR;A,C,D,E,G,I,K,L,M,N,O,P,S,T
AHS;A,B,C,D,E,F,G,H,I,K,L,M,N,O,P,R,S,T,W,Y
AHT;A,B,C,E,F,G,H,K,L,M,N,O,P,R,S,T,U,W
AHW;A,C,E,K,M,N,O,P,S,T
AHY;A,C,E,I,L,N,O,S,Z
AIJ;H,L,O,S
AIK;D,E,F,H,K,L,M,N,P,R,S,T,U,V,Z
AIL;B,C,D,E,F,G,H,I,J,K,M,N,P,R,S,T,V,W,X,Z
AIM;A,B,C,D,E,G,H,K,L,M,N,O,P,R,S,X
AIN;B,C,E,F,G,H,I,K,L,M,N,O,P,R,S,T,U,V,W,Y,Z
AIP;C,D,K,L,M,N,P,R,S,T
AIR;A,B,C,D,F,G,H,K,L,M,N,P,S,T,V,W,Y,Z
AIS;A,B,C,D,H,J,K,L,M,N,P,R,S,T,V,W,X
AIT;B,D,F,G,K,L,N,O,P,R,S,T,U,V,W,X,Z
AIV;D,E,G,K,L,N,R,S,T,V
AIW;D,F,L,N,R,S,T
AJK;C,E,R,S,U
AJM;B,S
AJP;A,E,R,S,U
AJR;A,K,L,P,S,U
AJT;E,O
AJW;S
AJY;S,X,Z
AKK;A,C,E,I,O,R,S,Y
AKM;A,C,E,I,O,R,S,W
AKO;B,G,H,K,L,M,N,P,R,S,T,Y
AKP;A,C,E,H,I,L,N,O,R,S,U,W
AKR;A,B,C,D,E,H,I,J,K,L,M,N,O,P,R,S,T,U,W,Y
AKS;A,B,C,D,E,F,G,H,I,J,K,M,N,O,P,R,S,T,U,V,W,Y
AKT;A,C,E,H,I,L,N,O,R,S,U,Y
AKU;B,C,D,G,H,I,J,L,N,P,R,S,T,W
AKW;A,B,C,D,E,F,G,H,L,M,N,P,R,S,U
AKY;C,K,L,N,O,R,S,T
ALL;B,C,E,F,G,H,L,M,O,P,S,T,W,Y
ALM;A,B,C,E,F,G,H,I,L,M,O,P,R,S,T,U,Y
ALP;A,C,E,F,I,K,L,M,N,O,P,S,T,U,W,Y
ALR;A,C,D,E,F,H,I,J,K,M,N,O,S,Y
ALS;A,B,C,D,E,F,G,H,I,L,M,O,P,R,S,T,U,V,W,Y
ALT;A,B,C,D,E,F,H,I,K,L,M,N,O,P,S,U,W
