AAB;AITV,DDIK,EFGU,EGGG,IPUX,KOOZ,NNOZ
AAC;AHLZ,EEGK,GNOU
AAF;BEGU,EFTT
AAG;BEFU,CEEK,EQUY,KOOZ,TTUU
AAH;ABLQ,ACCC,ACLZ
AAI;ABTV,BHTT,BPUX,EHLP,ENNO,EPTT,ETUX,FNNU,HLLL,HPTZ,INNZ,INZZ,JPPY,LLLT,LPPT,LPTT,LQWW,LTTT,PPTT,QTUV
AAK;BOOZ,CEEG,GOOZ
AAL;ACHZ
AAM;ADDO
AAN;CCEV,CCVY
AAS;DOTT
AAU;BCMM,BEFG,BEJM,CEIM,CHNO,EMMN,GMMY
AAV;DDII
AAW;BELX,EGIN,EGSS,ELSX,GMNS,ILSS,OORR
ABB;BITT,CGIN,CIKT,DGIN,GGIN,GINN,GINT
ABC;FLOO,IILL,LMUU,LOOX
ABD;
ABE;AGGG
ABF;AEGU,CIKN,DEEG,EINU
ABG;AEFU,AEGG,BOOU,EEPW,FOOT,OTTU
ABH;AKNR
ABJ;GIOO
ABK;ADDI
ABL;
ABM;DHTU,DKNU
ABN;
ABO;EGPY
ABP;ACIO,ACKY,ACLY,ALLT,GIOT,GLOY,LNOO
ABR;
ABS;
ABT;AACW
ABW;AACT,CEHT,EEGP
ABY;
ACD;AAMM
ACE;
ACF;CIIP,DIIY
ACG;IITU,KMMO
ACH;AACC
ACL;
ACM;
ACN;CDKO
ACO;EFFF
ACP;
ACR;
ACS;
ACT;GIIU
ACV;GKOR
ACW;DMOO
ACY;EFIT
ACZ;ADEN,ANNO,ANOT,EGIN,EIIL,EINT,EINY,EIQU,ENNO,EOOT,IJUZ
ADD;HINP
ADE;
ADF;CCIL,CILM
ADG;
ADH;AAGG,BIIT,DITY
ADI;
ADK;BOOY
ADL;
ADM;AADO,CDKO,CKOO
ADN;
ADO;UUVX
ADP;ALLU,ALPU
ADR;
ADS;
ADT;
ADW;
ADY;BKOO
ADZ;BRUZ,CMOR,CORU,MORT
AEF;ABGU,GGGO
AEG;
AEH;
AEK;
AEL;
AEM;
AEN;
AEP;IMOO
AER;
AES;
AET;
AEU;ACHP,CCHP,CCKP,DDMW,DFFQ,DFFW,DHZZ,FLLZ,FMOW,ITTT,JLOZ
AEV;
AEW;ACPY
AEX;BFOR,BGOR,CCHY,FFIR
AEY;
AEZ;CIQU
AFF;AALL,AELL,AETT,EELL
