AAB;34,352,422,425,577,588,629
AAC;72,778,924
AAF;422,1496
AAG;422,778,1581,1974,2039
AAH;30,56,72
AAI;34,532,577,1596,1645,1653,1665,1858,2057,2079,2166,2169,2178,2205,2250,2255,2257,2266,2325,2332
AAK;588,778,1974
AAL;72
AAM;105
AAN;661,706
AAS;1450
AAU;339,422,450,826,968,1756,2000
AAV;1150
AAW;482,1527,1588,1748,2008,2265,2564
ABB;2598,2607,2609,2634,2687,2690,2693
ABC;2887,2911,2966,2970
ABD;
ABE;425
ABF;422,2881,3014,3390
ABG;422,425,2698,3286,3791,3910
ABH;534
ABJ;3838
ABK;352
ABL;
ABM;3197,3232
ABN;
ABO;3460
ABP;327,331,337,596,3877,3890,4119
ABR;
ABS;
ABT;20
ABW;20,2820,3286
ABY;
ACD;66
ACE;
ACF;4319,4689
ACG;5675,5730
ACH;56
ACL;
ACM;
ACN;4228
ACO;4910
ACP;
ACR;
ACS;
ACT;5675
ACV;5731
ACW;4779
ACY;4936
ACZ;738,1109,1111,4982,5151,5246,5247,5266,5477,5518,5935
ADD;6489
ADE;
ADF;4223,4690
ADG;
ADH;108,3192,6491
ADI;
ADK;3234
ADL;
ADM;105,4457,4768
ADN;
ADO;8004
ADP;1385,1401
ADR;
ADS;
ADT;
ADW;
ADY;3234
ADZ;3267,4780,4790,7951
AEF;422,8574
AEG;
AEH;
AEK;
AEL;
AEM;
AEN;
AEP;9686
AER;
AES;
AET;
AEU;819,4258,4288,6437,6740,6742,7014,8698,8739,9875,9883
AEV;
AEW;882
AEX;3405,3463,4264,8549
AEY;
AEZ;5266
AFF;143,1493,1496,8025
AFG;422,1499,4917,8033,8589
AFH;5596,6349
AFK;317
AFL;
AFN;
AFO;2884
AFP;4319,4917,7504,8553,8745,10678,10701,10718,10720
AFR;
AFS;
AFT;
AFU;422,6749,8739
AFW;8739
AFX;3405
AFY;4936,5610,10694
AGG;
AGH;6359
AGJ;2689,3837,4988,5676,11090,11097
AGK;778,801,1465,4988,8011,8094,8871,8872,8987
AGL;
AGM;
AGN;
AGO;2698
AGP;11063
AGR;
AGS;
AGT;11371
AGU;2698
AGV;
AGW;3898,10960,11044,11427,11462
AGY;
AGZ;7586
AHH;2896,4325,4445,5016,5017,11474,11477,11487
AHI;149,2079,8174,9253,9269,11638
AHJ;184,4335,9270,11019
AHL;
AHM;
AHN;
AHO;
AHP;149
AHR;
AHS;
AHT;6491,7623
AHW;10960
AHY;
AIJ;548,1338,1887,2173,2178,3837,4716,5935,6600,7026,9482,10880,10897,11090,11097
AIK;
AIL;
AIM;
AIN;
AIP;577,11613
AIR;
AIS;
AIT;
AIV;1028,2938
AIW;180,3518,5162,5944,10960,11869
AJK;184,2343
AJM;80,121,1042,1215,1338,2174,2344,2347,5286,7026,9467,9878,9886,11090
AJP;
AJR;5299,7026,9893
AJT;920,1045,4716,5766,6106,7623
AJW;184,763,1869,2343,3593,6100,7875,9270
AJY;548,2178,2343,3203,3587,6405,12253,12254,12258
AKK;
AKM;11647,12250,12251
AKO;4424,7883
AKP;
AKR;
AKS;
AKT;
AKU;
AKW;
AKY;6626,10694
ALL;6520
ALM;
ALP;
ALR;
ALS;
ALT;
ALU;
ALV;
ALW;
ALX;
ALY;
AMM;
AMN;
AMO;105,1416
AMP;8405,12498
AMR;
AMS;
AMT;
AMU;2677
AMW;11784
AMX;
AMY;
ANN;
ANP;
ANR;
ANS;
ANT;
ANV;
ANW;
ANY;
AOP;9686
AOR;
AOT;
AOV;774,1028,1122,4674,8004
AOZ;266,3994,4780,4790,6136,12112,12548,12620,12621
APP;
APR;
APS;
APT;
APV;1028,2063,2461,6077,11936,12020,12227,12405
APW;
APX;99,209,577,1032,1053,1371,1445,4177,7714,11613,11735,11759,11995,12198,12422,12638
APY;7714,11613,12230
APZ;266,1370,2079,3569,8940,9253,11274,12083,12429
AQT;6517,11894
AQU;4416,10487,12445,12446
ARS;
ART;
ARV;
ARW;
ARX;53,99,209,1032,1445,1993,2142,2213,3581,3726,3777,8443,8549,8669,11192,11729,12307,12545
ARY;
ASS;
AST;
ASU;4416
ASV;
ASW;
ASX;53,2908,2981,4177,11759,12638
ASY;
ASZ;2363,2496,3927,4073,4176,4198,5836,10772,11677,11712,12620
ATT;1898
ATU;
ATV;
ATW;
ATX;12422,12621,12638
ATY;1,4723,6491,7719,11835
AUV;2938,8004,10941
AUY;2366,2572,2676,3587,4092,10694,10793,10811,12457,12656
AVV;1156,12656
AVW;
AVX;1993,2316,4866,8004,9566,10150,10505,11771
AWW;7841,7997,11328,11638,12306,12307,12545,12586,12592
AWX;482,1053,1451,4008,7997,9510,9987,11192,12307,12545
AWY;3518,10960
AWZ;9225,11251
AXZ;9746,10130,12621
AYY;3242,4714,5837,6149,7658,7750,7806,11667,11707,11738,12317,12344,12354,12412,12456,12554,12570,12678
BBE;12702,12796,12817,12883,12892
BBI;2607,2609,2634,2639,2687,2690,2693,2694,2695,2708,12697,12718,12720,12769,12776,12896,12898,12900,12902,12905,12906,12907,12911,12917,12918,12920,12935,12943
BBO;12696,12728,12883
BBU;12718,12817,12898,12902,12917,12920,12943
BCO;345,13026,13029,13243,13245,13246
BCU;339,348,2938,13245,13247
BDE;
BDI;
BDO;
BDU;
BEE;3271,13783
BEG;278,422,425,3286
BEK;
BEL;
BEN;
BEO;
BER;
BES;
BET;
BEW;362,2820,2847,3286,3518,13075,14260
BEY;
BEZ;13683,14441
BFI;2881,2882,2883,2884,3390,3788,12896,12897,12898,13038,13690,13886,13893,13896,14480,14488,14493,14495
BFO;2884,3791,12897,13311,13374,13917,14480
BFU;422,3277,3390,12898,13699
BGI;14631
BGO;2890,3910
BGU;422,2698,3883,3910,12909,13568,13581,14573,14631
BHO;3194,3922,3942,12903,13172,13173,13408,13738,14030,14042,14043,14530,14663
BHU;12933,14692
BIJ;548,2919,3837,3838,3984
BIL;12985,13560
BIM;13561,13940
BIN;12720,12986,14655
BIO;12720,13172,13173,13731,14777
BIR;
BIS;
BIT;12943,14520
BIZ;3836,3853,3868,3876,3994,3996,4018,4033,4058,12943,14604,14608,14627,14631,14682,14765
BJO;3838,12940,12954,14824
BKO;14703
BLO;14847
BMO;
BMU;339,2677,4036,13219,14692
BNO;
BNU;14710
BOO;
BOP;327,3877,3890,4021,4129,13644,14605,14747
BOR;
BOS;
BOT;
BOW;2753,3259,3904,12933,13029,13294,13584,13618,13643,13648,14646,14693,14830
BOX;2643,2842,2908,3252,4177,12965,12988,13223,13229,13636,14043,14262,14484,14510,14857,14858,14874,14893,14895
BOY;
BPU;12917,13608,13644,14573,14771
BRR;14898
BRU;
BSU;14728,14809
BSY;14625
BTU;12943,13247
BUY;12985,13058
CDI;14954,15738,15741
CDO;
CDU;4445
