AAB;EHOPQU
AAC;
AAF;CCEGOU
AAG;CCEFOU
AAH;
AAI;
AAK;
AAL;
AAM;
AAN;
AAS;
AAU;BCCHKK,CCEFGO,CHHHIU
AAV;
AAW;
ABB;
ABC;
ABD;
ABE;
ABF;
ABG;
ABH;
ABJ;ACCKKL
ABK;
ABL;
ABM;CHKTTU
ABN;
ABO;
ABP;CKLLLO,GGIINP,GIINTZ
ABR;
ABS;
ABT;
ABW;
ABY;
ACD;
ACE;
ACF;CHOOOR,GHMORR
ACG;
ACH;
ACL;
ACM;
ACN;
ACO;
ACP;
ACR;
ACS;
ACT;
ACV;
ACW;
ACY;
ACZ;AEILSU,AEILTU,BLLSUZ,EGIMTU,EILLSU,EILNUV,GIIILN,GIINNY,IILQUZ
ADD;
ADE;
ADF;CIIILL,CIIILP
ADG;
ADH;
ADI;
ADK;
ADL;
ADM;
ADN;
ADO;
ADP;
ADR;
ADS;
ADT;
ADW;
ADY;
ADZ;
AEF;
AEG;
AEH;
AEK;
AEL;
AEM;
AEN;
AEP;
AER;
AES;
AET;
AEU;
AEV;
AEW;
AEX;
AEY;
AEZ;
AFF;
AFG;BCHIKT
AFH;CCOOOR,CGMORR,DIOORY
AFK;
AFL;
AFN;
AFO;BCCCEI
AFP;ACFKST,DDEIIT,DEEEST,DEGGOW,DEHISS,EOSSTT,FHISTW,HIIKNO
AFR;
AFS;
AFT;
AFU;
AFW;DEGGOP
AFX;EGNORT
AFY;
AGG;
AGH;DIKOOW,IIOPPX
AGJ;BCEINT,CHIKLT
AGK;ABCELM,BCDEIR,BCGIPY
AGL;
AGM;
AGN;
AGO;
AGP;
AGR;
AGS;
AGT;
AGU;
AGV;
AGW;
AGY;
AGZ;
AHH;BIIRUV,CCDRUY,CCRUWY,DEEIMR,EEJLRR,ILLWWY
AHI;
AHJ;ACCEKP,CGGNOU
AHL;
AHM;
AHN;
AHO;
AHP;
AHR;
AHS;
AHT;
AHW;
AHY;
AIJ;CDGMTU,CDIRUY,CEEQRU
AIK;
AIL;
AIM;
AIN;
AIP;
AIR;
AIS;
AIT;
AIV;
AIW;AAAKKK
AJK;
AJM;ACDEKP,AEEGIR,CDGITU,CDIIOT
AJP;
AJR;
AJT;ACFFKS,CDGIMU,CGHIKL,CHIKMS,DIIKSS
AJW;AEHKRY,BEKLOU,EEKRRT
AJY;AAABLM,ACCDEN,ACDNUV,BCILNU,BEELLN,BINRRR,BLLOOT,CDIIRU,DEHLLO
AKK;
AKM;
AKO;
AKP;
AKR;
AKS;
AKT;
AKU;
AKW;
AKY;
ALL;
ALM;
ALP;
ALR;
ALS;
ALT;
ALU;
ALV;
ALW;
ALX;GHOPRY
ALY;
AMM;
AMN;
AMO;
AMP;
AMR;
AMS;
AMT;
AMU;
AMW;ILLLTU
AMX;AACRTU
AMY;
ANN;
ANP;
ANR;
ANS;
ANT;
ANV;
ANW;
ANY;
AOP;
AOR;
AOT;
AOV;
AOZ;ADHRSU,QRSTUU
APP;
APR;
APS;
APT;
APV;ABHIRR,CIITTY
APW;
APX;AILLOY,AILOST,DHIILO,DILORY,FILOST,GHIIOP,GHLORY,GILLNO,HIMOSU,HOORRT,HOORTU,HOOTTY
APY;
APZ;AADHHR,AGHNOO,ANOOVZ,BGIINT,BHIOOO,EIIMRV
AQT;
AQU;
ARS;
ART;
ARV;
ARW;
ARX;AACMTU,EIIMMZ,ILNTUU
ARY;
ASS;
AST;
ASU;
ASV;
ASW;
ASX;ALNPTW,BBDOOR,BDHOOW
ASY;
ASZ;AAABCL,ACCHIV,BCLLUZ,BFLLUZ
ATT;
ATU;
ATV;
ATW;
ATX;HOOPTY
ATY;
AUV;DDIIIN
AUY;AIILRX
AVV;
AVW;
AVX;DEIIOT,EERRTT
AWW;CDHORT,DOOORR,INNOTT,KMNOOR,MOORRR,ORRRTY
AWX;ABHLLO,BDHOOS
AWY;
AWZ;GHIILN
AXZ;HLNOTY
AYY;AGKMOR,BDERRU,BEJLNO,BEOTTT,BLNOTU,CCGNOR,CCHNOP,CCILLN,CENOPT,CGMNOR,CHHLPR,CHLOPR,CHOPTT,CILLLT,CILLPT,EKOPRT,FLLLPU,LOOPRZ,MNOTTU
BBE;GGNOOW
BBI;IILNRU
BBO;
BBU;
BCO;
BCU;AADNNY,DIIMMY
BDE;
BDI;
BDO;
BDU;
BEE;
BEG;CKTTUU
BEK;
BEL;
BEN;
BEO;
BER;
BES;
BET;
BEW;
BEY;
BEZ;AETTTY
BFI;AEGMNO,CHLLNU,EGGGNO,GHLLTU,LNOTUU
BFO;ACCCEI,DEIIMZ
BFU;CDIIIT
BGI;
BGO;
BGU;AIIMTY,CEKTTU,FHILLT
BHO;AALLWX,ADLNNW,CLNPUW,EEELLR,EEIRRZ,EELLNY,EIRRVY
BHU;
BIJ;AAGNNX,ACLNUY,AILLNO
BIL;
BIM;CDIMUY
BIN;
BIO;CEHQUU
BIR;
BIS;
BIT;
BIZ;AHOOOP,CIOOOT
BJO;
BKO;
BLO;
BMO;GIIINN
BMU;BIIKTZ
BNO;
BNU;
BOO;
BOP;ACKLLL,AGOTTU,AILLNT,BHMOOT
BOR;
BOS;
BOT;
BOW;AACCHN,AACGNU,AADGNN,DDINNU
BOX;EGGGLO,GNORST
BOY;
BPU;
BRR;CMNOOO,DNNOOY,FMMOOO
BRU;
BSU;
BSY;DDIINN
BTU;
BUY;CDIIMM
CDI;
CDO;
CDU;
CEE;
CEH;
CEI;
CEL;
CEO;
CEP;
CER;
CES;
CET;
CEU;
CGI;AAAALT
CGO;
CHI;
CHO;
CIK;
CIM;
CIP;
CIS;
CIT;AIIPZZ
CIY;BDIMMU,EFHIMS
CLO;
CLY;
CMO;
CMU;ENOOOQ,IOOTYZ
CMW;AEEIRV,BDILNO
