AABB;D,G,K,S,Y
AABC;A,C,H,I,K,L,R,S
AABL;C,D,I,N,R,S,T
AABR;A,C,E,I,J,K,L,M,O,R,S,T,V,Y,Z
AABS;B,C,E,H,I,K,L,M,N,R,T,U,Y
AABY;A,B,N,R,S
AACC;B,E,O,S,Y
AACI;B,E,F,R,S
AACM;N,S,W
AACP;E,H,L,R,S,T
AACR;B,E,H,I,L,P,S,T
AACS;B,C,I,L,M,P,R,S,U,V,W
AACT;E,F,N,P,R
AACV;S,U
AACW;M,S
AADD;H,R,S,U,X
AADI;K,N,P,S,Z
AADL;B,E,F,H,N,S,T,W
AADN;B,H,I,L,M,P,S,V,Y
AADT;L,P,Y
AADW;H,L,R,S
AAEL;D,G,K,N,P,R,T,V
AAER;B,C,D,E,F,L,M,N,P,R,S,T,U,W
AAES;B,N,R
AAFH;L,S
AAFJ;F,L,S
AAFL;D,H,J,N,S,T,V
AAFN;E,G,K,L,U
AAFR;A,D,E,S,Y
AAFS;H,J,L,R,V
AAFV;L,S
AAGG;D,R,W
AAGH;L,R,S
AAGI;L,M,N,R,S,T
AAGJ;N,R,S,U
AAGL;E,H,I,L,N,R,S,V,X,Y,Z
AAGM;A,B,I,M,N,R,S,T,Y
AAGN;F,I,J,K,L,M,N,P,R,S,T,U
AAGR;D,G,H,I,J,L,M,N,O,P,S,T,Z
AAGS;H,I,J,L,M,N,R,S,T,V
AAHH;S,T
AAHK;C,E,I,L,M,S,Y
AAHM;B,K,L,O,R,S,U,W,Z
AAHR;C,G,J,L,M,O,R,S,T,Y
AAHS;B,F,G,H,K,M,N,P,R,T,W,Y
AAHT;H,L,N,R,S,V,W
AAHW;D,L,M,S,T
AAHY;C,K,R,S
AAIM;F,G,L,N,R,S,T,Z
AAIR;B,C,G,K,L,M,N,S,T,V
AAIS;B,C,D,G,K,L,M,P,R,S,T
AAJP;L,N,S
AAJR;B,G,H,S,T
AAJV;I,S
AAKK;I,P,S,Y
AAKL;C,E,H,I,M,O,P,R,S,T,V
AAKM;A,H,L,R,S
AAKN;B,E,F,G,S,T
AAKP;E,K,L,O,P,R,S,T
AAKR;B,I,L,M,P,S,T,Y
AAKS;B,H,I,K,L,M,N,P,R,T,V,W
AAKT;I,L,N,P,R,S,Z
AAKV;L,S
AAKW;E,S,U
AALM;H,I,K,L,M,O,R,S,T,U,V,W,X
AALN;B,C,D,E,F,G,H,I,L,N,S,T,U,V,Y
AALP;A,C,E,H,J,K,L,P,S,T,Y,Z
AALR;B,C,E,G,H,I,K,M,T,U,V,Y,Z
AALS;B,C,D,F,G,I,K,L,M,N,O,P,S,T,U,V,Y
AALT;B,D,E,F,H,K,M,N,P,Q,R,S
AALU;L,M,N,R,S
AALV;E,F,G,H,I,K,L,M,N,R,S
AALX;G,I,M
AALY;G,I,L,N,P,R,S,W
AAMM;B,D,G,L,M,N,S
AAMN;B,C,D,G,I,M,N,S,T,X,Y,Z
AAMR;B,D,E,G,H,I,K,L,O,P,R,S
AAMS;B,C,G,H,I,K,L,M,N,O,R,S,T,Y
AAMT;E,G,I,L,N,S,U,Z
AAMY;G,N,S
AANN;A,C,G,J,L,M,N,S,T,U,W
AANO;S,X
AANP;D,E,G,H,I,J,P,R,S,V,X
AANR;E,G,I,P,S,T,U,V,W
AANS;A,B,D,E,G,H,K,L,M,N,O,P,R,S,T,U,Z
AANT;A,C,E,G,H,K,L,M,N,Q,R,S,V
AANZ;H,J,M,S,Z
AAPP;K,L,M,N,S,T,W,Y
AAPR;C,E,G,K,M,N,R,S,T
AAPT;C,D,K,L,P,R,S,T,W
AAPU;M,S
AAPW;P,S,T,W
AAPY;D,L,P,S
AAQU;E,S
AARR;B,D,E,H,M,P,S,U,Y
AARS;B,C,E,F,G,H,I,J,K,M,N,P,R,T,U,V,Y
AART;B,C,E,G,H,I,J,K,L,N,O,P,S,T,Y
AARU;E,L,N,R,S
