AABB;BO,CO,CU,HL,LL,LO,LR
AABC;BO,BU,BY,EO,MN,MT,UU
AABL;AK,AQ,BH,BL,BO,EM,EZ,LO,OV
AABR;DN,GG
AABS;DS,GG,GS
AABY;MO
AACC;AI,DI,DU,HK,HM,HN,IL,IM,IN,KR,LP,LR,NN,RT
AACI;AC,CD,CL,CM,CN,DG,GM,GN,GU,JM,LL,LM,LP,MN,OT,PT,TV,TX
AACM;AR,BH,BI,BT,CH,CI,CO,DP,EO,ER,GG,GI,HT,IJ,IL,LT,LU,OY,RT
AACP;DM,KZ,PY
AACR;AM,AN,CK,DF,DN,FX,KR,KW,MN,NO,NY,RU
AACS;DH,ET,HN,HY,KY,NN,NT
AACT;BM,DH,HL,HM,HT,HW,IO,IS,IV,IX,KT,LM,LO,LU
AACV;ET,IR,IT,NT,RT
AACW;HK,HT,KR,LR
AADD;EL,EW,IL,LN
AADI;BH,BR,BT,CC,CE,CG,CR,DL,ET,FR,GM,GO,GR,HL,LO,LR,LU,MR
AADL;CU,DI,IO,IR,IU,MP,MY,OP,PR,RU
AADN;AC,AN,CR,EG,ET,EX,FR,FT,GR,NR,RT
AADT;BE,BI,BR,CH,DS,EI,EM,EN,ER,FN,FR,IN,IS,NR,RU
AADW;DE,EK,EW
AAEL;AZ,BI,BM,BZ,CC,CF,CI,CS,FM,HM,IM,IX,LU
AAER;GG,GO,GV
AAES;CL,CT,CU,DG,DL,DP,GL,GP,GT,GV,HK,HM,KL,KW,LP,LT,LV,MS,MT,MZ,OZ,TV,WY
AAFH;GN,MT,TW
AAFJ;IT
AAFL;CE,CI,CO,CU,EM,ER,FR,IK,LL
AAFN;CT,DR,DT,IR,IT
AAFR;CX,FI,FL,FP,FZ,GN,IN
AAFS;CI,EN,GN,IK,IM,IT,KN,NU,OT,TW
AAFV;
AAGG;BS,CM,EL,EV,KU,LO,MN,NZ,QU
AAGH;CE,CN,FN,IN,JN,KN,NU
AAGI;AP,CD,CU,DO
AAGJ;DE
AAGL;GO,MM
AAGM;CG,DE,EL
AAGN;CH,DE,GZ,WY
AAGR;EF,EV,RY,UV,VY
AAGS;BB,BE,BG,DE,DG,EP,GW
AAHH;CL,JJ,LL,LV,MZ
AAHK;AR,BT,DN,GN,JT,KT,NT,NU,PU
AAHM;AD,CC,CN,CT,DM,ET,FT,MM,NT,PY
AAHR;AK,DN,DP,DZ,EP,IK,IP,IV,PP
AAHS;CD,CL,DD,JL,LL,LO,LV
AAHT;AI,BK,CD,CE,CM,CT,EK,EM,FM,IO,JK,KK,MZ,PY
AAHW;BN,CK,EP,IN,NU
AAHY;DN,EN,IL,MP,PT
AAIM;BC,CC,CJ,HK,MX
AAIR;DF,FF,HP,HR,JW,OP,OR,OZ,PP,PY,RY,UW,WY,ZZ
AAIS;JV,NV
AAJP;AM,MY
AAJR;CE,IK,IN,IW,JM,NP
AAJV;
AAKK;AB,AN,AR,EE,HT,MR,NU
AAKL;AB,GY
AAKM;BT,DE,EW,MO,MU,NU,TU
AAKN;AK,CH,DH,HU,IL,IO,IR,KU,MU,OR,WZ
AAKP;CH,CZ,DU,HI,HU
AAKR;AH,AK,CC,CH,CR,CW,NO
AAKS;CY
AAKT;AE,AJ,BE,BG,BH,BM,CT,EH,HJ,HK,MU,UY
AAKV;
AAKW;CH,CR,II,NZ
AALM;AP,BD,BE,DP,DY,EF,EG,GN,NP,NY
AALN;MP,MW,OX,OZ,PR,RW,RX
AALP;DM,DO,DR,GI,IM,IR,MN,MR,NR,RR
AALR;DP,FF,LO,NP,NW,NX,PR,SW
AALS;HJ,HR,HW,RW,RZ
AALT;CO,CU,IV,LT,UV
AALU;BC,BI,BT,CD,CF,CP,CT,DI,FT,IQ,KT,PP,TV
AALV;BO,OW,TU
AALX;CO,NO,NR,SU
AALY;DE,DM,HK,MT
AAMM;IX,KO,KU,OO,RR,RT,UZ
AAMN;AP,AR,AW,EP,HR,JP,KU,LP,LU,LW,OO,OR,RW
AAMR;AC,AN,AT,CN,CT,JJ,MT,NT,NW,TU
AAMS;DP,EZ,PP,PU,QU
AAMT;AJ,AR,AT,BC,BK,CH,CR,FH,KR,MR
AAMY;BO,BR,CO,DL,DY,HP,JP,LT
AANN;BI,BK,BY,DP,DR,EK,EZ,YZ
AANO;BR,CH,CL,CR,DL,EP,EZ,GL,GN,GR,GT,IK,IP,IT,JN,JW,JY,KR,LT,LZ,MO,MR,MZ,NN,QY,RT,TT
AANP;AM,CT,LM,LT,MT
AANR;AC,AM,BD,BK,BM,BO,CD,CH,CL,CM,CO,CY,DF,DH,DN,HJ,HM,KO,LX,MO,RY
AANS;CI,CV,IV,JW,YY
AANT;DF,DI,FI,IJ,IO,IP,IT,IW,OT
AANZ;AN,BI,EN,EO,GG,KW,LO,NY,RT
AAPP;DI,ER,GR,HR,IR
AAPR;DH,DL,FF,HI,HP,HY,IL,IO,IP,IY,LY
AAPT;AZ,HH,HY,IN,IY,MN
AAPU;CL,DK,HK,KK,LP,NR,RR
