AABB;94,95,96,100,102,103,104
AABC;95,96,97,109,117,118,121
AABL;10,13,100,102,103,151,154,218,225
AABR;136,167
AABS;142,168,177
AABY;236
AACC;23,268,269,271,272,273,274,275,276,277,279,280,282,284
AACI;23,268,274,275,276,293,336,337,339,365,366,367,368,370,374,377,381,382
AACM;28,110,112,118,272,275,281,299,314,315,334,336,352,365,367,395,396,415,416
AACP;299,387,428
AACR;28,29,277,292,300,333,388,389,412,420,423,432
AACS;295,322,355,362,390,419,424
AACT;118,296,349,352,363,364,374,380,381,382,391,395,403,411
AACV;325,378,381,427,435
AACW;345,364,389,409
AADD;437,439,441,442
AADI;127,130,131,268,288,293,297,441,456,475,484,485,486,495,508,509,511,513
AADL;298,441,508,509,511,526,528,533,534,535
AADN;25,35,300,452,467,468,478,479,490,551,555
AADT;124,131,140,296,445,456,465,467,472,479,481,516,520,555,566
AADW;439,458,474
AAEL;39,149,151,154,270,302,308,312,581,612,620,623,639
AAER;589,601,605
AAES;312,322,323,453,459,470,594,603,606,607,610,614,630,637,648,653,654,664,665,666,677,695,696
AAFH;705,710,712
AAFJ;713
AAFL;302,327,329,330,581,582,701,714,723
AAFN;331,478,479,717,718
AAFR;333,698,701,702,704,707,717
AAFS;328,585,708,715,716,720,721,729,730,732
AAFV;
AAGG;168,334,588,590,733,734,735,736,737
AAGH;304,335,705,741,742,743,750
AAGI;41,293,339,485
AAGJ;449
AAGL;734,784
AAGM;334,451,591
AAGN;335,452,736,823
AAGR;580,605,827,830,831
AAGS;99,146,168,453,482,603,740
AAHH;341,834,835,836,837
AAHK;46,182,496,743,855,860,865,866,868
AAHM;33,272,350,352,497,615,710,889,892,895
AAHR;46,499,503,505,618,843,850,853,913
AAHS;295,348,440,856,875,882,887
AAHT;45,182,296,307,352,363,611,615,710,849,855,860,902,916
AAHW;187,345,619,848,909
AAHY;502,617,845,895,916
AAIM;112,275,365,841,968
AAIR;475,698,850,851,932,996,997,998,999,1001,1005,1009,1011,1012
AAIS;933,992
AAJP;57,1021
AAJR;309,929,930,932,1017,1026
AAJV;
AAKK;9,60,61,572,860,1035,1036
AAKL;10,780
AAKM;211,457,631,1049,1050,1051,1057
AAKN;60,342,496,866,937,939,940,1036,1051,1058,1061
AAKP;343,387,524,842,868
AAKR;46,61,277,344,388,389,1058
AAKS;390
AAKT;38,56,150,172,182,211,391,611,855,860,1057,1074
AAKV;
AAKW;345,389,926,1061
AALM;68,133,151,526,528,581,591,785,1095,1098
AALN;1095,1097,1114,1115,1116,1120,1121
AALP;526,533,534,756,950,958,1095,1102,1116,1134
AALR;534,701,1082,1116,1120,1121,1134,1146
AALS;856,884,888,1146,1148
AALT;403,411,966,1091,1156
AALU;116,192,229,298,330,407,411,511,728,960,1048,1133,1156
AALV;225,1131,1156
AALX;404,1114,1121,1154
AALY;462,528,863,1110
AAMM;968,1049,1050,1161,1162,1163,1164
AAMN;73,74,77,658,890,1020,1051,1095,1096,1097,1169,1170,1175
AAMR;28,74,79,412,416,1017,1163,1174,1175,1194
AAMS;544,666,1187,1189,1190
AAMT;58,79,80,118,211,352,416,710,1053,1163
AAMY;236,239,415,528,549,895,1021,1110
AANN;195,212,242,550,551,632,667,1206
AANO;243,353,397,420,529,668,669,786,808,811,812,939,981,982,1022,1024,1025,1058,1113,1115,1169,1170,1171,1199,1207,1208,1210
AANP;73,421,1095,1117,1173
AANR;29,74,136,213,231,243,300,354,398,412,420,423,478,499,551,857,890,1058,1121,1170,1223
AANS;373,425,992,1028,1237
AANT;479,516,718,931,982,987,993,995,1210
AANZ;82,200,667,669,736,1061,1115,1206,1232
AAPP;518,678,826,913,999
AAPR;503,534,702,850,913,914,958,996,999,1001,1135
AAPT;89,839,916,987,1003,1173
AAPU;407,524,868,1038,1133,1214,1253
AAPW;619,1260
AAPY;895,914,916,1001,1003,1021,1215
AAQU;737,960,1219
AARR;0,388,431,815,997,1221,1222,1243,1267
AARS;565,1146,1148,1274
AART;79,91,481,566,1163,1194
AARU;493,546,566,778,830,944,1009,1054,1194
AARV;91,435,568,605,830,831,1243
AARY;423,494,694,772,806,817,831,1001,1010,1011,1215
AASU;446,779,833,899,976,1073
AASV;556,992,1217
AATU;165,229,265,324,411,566,608,692,728,821,825,1016,1048,1074,1156,1219,1230,1239,1280
AATV;91,325,381,435,627,655,966,1156,1247
AATW;266
AATX;55,326,382,1182
AAWW;474,1142
AAWY;694,823,1011,1240,1269
ABBE;1285,1303,1304
ABBL;100,102,103,104,1282,1326,1335,1337,1338,1346,1350
