AABB;5,288,289,293
AABC;278,339,345,348
AABL;27,28,42,419,421,423,449,458,469,471,482,502,599,609
AABR;284,376,384,509,527
AABS;22,24,379,523
AABY;329,331,335,337,408,471,502,538,548,556,599,609,619,639
AACC;56,59,668,676,686,688,694,703
AACI;77,688,716,759,760,929,930,932,934,937,943,985,987,988,994,995,1003,1005,1009,1018,1019,1028,1033
AACM;59,66,281,339,652,718,721,735,751,826,867,935,945,1011,1015,1016,1018,1098,1102
AACP;77,89,327,331,764,987,1028,1048,1053,1054
AACR;101,707,717,1102
AACS;63,67,81,104,720,799,802,810,834,984,1056
AACT;10,20,102,104,345,348,682,688,694,703,708,709,943,1009,1018,1033,1047,1094,1098,1122,1132
AACV;14,82,96,661,684,706,737,741,760,774,846,848,853,864,880,971,1028,1063,1083,1092
AACW;20,101,335,703,717,763,772,882,890,982,1047,1053,1054,1131,1132
AADD;105,350,352,353,716,1133,1134,1137,1138,1139,1142,1149,1150,1156
AADI;110,118,120,305,1150,1190,1203,1209,1334,1342,1351,1352,1357,1373
AADL;110,118,768,1275,1334,1339,1383,1385,1390,1401,1403
AADN;122,738,772,1133,1166,1175,1250,1254,1426,1429,1435
AADT;120,125,381,414,743,744,1172,1176,1184,1188,1276,1288,1299,1312,1357,1415,1418,1426,1429,1450
AADW;122,132,763,772,1176,1214,1254,1286,1410,1451
AAEL;419,423,449,458,460,462,474,477,482,841,1493,1603,1634,1688,1696,1706,1707,1747,1748,1752
AAER;1600,1669,1671
AAES;137,139,653,664,720,728,785,788,791,799,802,818,865,881,1145,1173,1205,1220,1242,1268,1473,1484,1507,1530,1532,1537,1586,1588,1618,1619,1621,1625,1634,1636,1649,1662,1664,1687,1696,1706,1707,1747,1748,1770,1814,1828
AAFH;144,1172,1846
AAFJ;
AAFL;28,143,419,421,423,502,503,505,903,1463,1493,1501,1830,1851,1856,1874,1879
AAFN;146,1832,1880,1881,1882,1883,1884
AAFR;505,905,906,910,1844,1851,1862,1870,1874,1875,1876,1880,1882
AAFS;720,909,1173,1270,1272,1507,1832,1881,1883,1884
AAFV;
AAGG;148,425,426,1513,1514,1886,1887,1888,1895,1896,1898
AAGH;108,149,151,375,749,1162,1521,1886,1913,1915,1920
AAGI;800
AAGJ;
AAGL;921,922
AAGM;1891
