AABB;AINRR,EIRRZ
AABC;DENNU,DNNUY,GNOUW
AABL;AAJMY,EGHLU,GHLUY
AABR;
AABS;
AABY;CDEEL,DEELL,DEHHI,DELTW,DILLT,DILOV,ELLLM,GHLLU,IILLT,IILLX
AACC;IKKPP
AACI;AADMM,AAGLT,ADHKT,CCHOP,CKKPP,HHHUU,LNNOV
AACM;BBKRR,BKLLP,BKPRR,DDORU,DGLOR,DIIIR,EGHHU,HKKLR,IOTTU
AACP;CIKKP,CMNOY,GGIKN,GIKNN
AACR;DDMOU
AACS;DEGNO,FFJKT,FHJKT,HKKOZ
AACT;AAGIL,ABDII,BIILL,BKLLS,HQSSU,MOOST
AACV;ACDEL,BEELL,CLORR,DEILL,ILNNO
AACW;BCHNO,BEEHR,BGNOU,CHNNY,EHINR,EIKNT,ELLNO
AADD;BBDYY,BCEIT,BCEKT,CEOTV,CKPWY,EENTT,EGINT,EGITV
AADI;AACMM,AFLLT,CFILT,FFITV,IORTU,IQRUV
AADL;AGRVX,CGIIL
AADN;CCEEJ,CENNO
AADT;BBNOS,CCEOS,CEEEF,CKNSS,CMMOS,COORV,CORSW,EESTV,EFSST,EOSUV,FFIIV,GORSS,HNSSW
AADW;BGNNO,CDKPY
AAEL;BBCHL
AAER;
AAES;AHPTU,CCHIX,CDOOV,CJKSS,DDDEH,DFSTT,DOWWX,EHIST,ILLLU,ISSUV
AAFH;CDNRT,DEEMR,DENOR,DIINT,EERTT
AAFJ;
AAFL;BELPP,IORUW
AAFN;IIMNO
AAFR;BIMOT,CCMPT,CILOV,GLLOT,GOTTU,ILOUW,IMOTU,IORTU,MORTW
AAFS;AABQU,ADEWY,BCEOU,CCGOO,CEGOU,CFKPT,DESTT
AAFV;DFIIT
AAGG;BBCIN,CIKNP,CIKNS,EMSSU,INPSS,INSSU,KLNNP
AAGH;EGIOP,EMNOP,IMOOP,NOOPZ,OPTUY
AAGI;EGHOP
AAGJ;
AAGL;
AAGM;CEHHU,EEKQU
AAGN;
AAGR;ABEUY,AEERR,CEKWY
AAGS;CCFOO,CEFOU
AAHH;AAJMR,ADPRZ,CDEIR,CEGMU,CGIRY,CHIUU,DEERX,MOOPP
AAHK;AAPPW
AAHM;EENNY,HIPPT
AAHR;DEEHX
AAHS;CCEIX,DEEEL
AAHT;MMOTY
AAHW;AAKPP,BCEER,CCNNY,EJKRY
AAHY;ALLOT,BDEHI,BGLLU,MMOTT,NOTTX
AAIM;AACDM,KKKOO
AAIR;
AAIS;EEFNN,HHINN
AAJP;CCEHK,CDEKM
AAJR;AACDN,EKLWY
AAJV;CDNUY
AAKK;AACHL,BBCER,BCCCR,BCCHU,BCCJL,BCCRT
AAKL;
AAKM;CENTT,EEGQU,GIMNP,IKKOO
AAKN;
AAKP;CGGIN,CGINN,GIMMN
AAKR;
AAKS;
AAKT;ACCHM
AAKV;
AAKW;AAHPP,AAIKK,BDLOR,HLNOT,IKKOR
AALM;AABJY
AALN;
AALP;INNQU
AALR;
AALS;
AALT;AACGI
AALU;BEEGG,BEFFQ,BEGGY
AALV;
AALX;ADOPR,BEEHL,BEELR,BEENN,BHLOW,CEEST,CEPTY,EFHRT,ENSTT
AALY;AABJM
