AABB;62,637
AABC;725,755,896
AABL;7,1275,1462
AABR;
AABS;
AABY;707,1011,1043,1090,1131,1137,1384,1462,1515,1516
AACC;1752
AACI;13,17,208,1620,1752,2621,2775
AACM;605,950,958,1820,1981,2013,2180,2681,2825
AACP;1752,1792,2557,2578
AACR;1820
AACS;1865,2529,2535,2682
AACT;17,69,909,952,2715,2914
AACV;171,772,1790,1889,2775
AACW;684,765,896,1740,2252,2309,2425
AADD;609,701,702,1813,1819,2944,2953,2954
AADI;13,326,1971,3394,3531,3532
AADL;329,1976
AADN;1625,1947
AADT;622,1639,1822,2058,2067,2072,2074,3071,3096,3382,3394,3486,3514
AADW;1115,1819
AAEL;594
AAER;
AAES;389,1667,1958,2408,2930,3096,3383,3711,4235,4380
AAFH;1970,3012,3077,3397,3664
AAFJ;
AAFL;1262,4633
AAFN;4625
AAFR;1450,1713,2543,4611,4613,4633,4635,4639,4649
AAFS;4,310,791,1710,2161,2530,3096
AAFV;3394
AAGG;599,2557,2558,3932,4670,4671,4675
AAGH;3911,3948,4695,4712,4718
AAGI;3911
AAGJ;
AAGL;
AAGM;2180,3684
AAGN;
AAGR;124,363,2206
AAGS;1710,2161
AAHH;32,335,1866,2180,2562,2621,3025,4895
AAHK;34
AAHM;3720,4889
AAHR;3025
AAHS;1667,3010
AAHT;4965
AAHW;34,765,1740,4135
AAHY;489,1043,1462,4965,4976
AAIM;13,5040
AAIR;
AAIS;3665,4883
AAJP;1668,1920
AAJR;14,4381
AAJV;2054
AAKK;20,595,663,680,689,691
AAKL;
AAKM;2413,3684,4739,5040
AAKN;
AAKP;2557,2578,4739
AAKR;
AAKS;
AAKT;185
AAKV;
AAKW;34,38,1147,4948,5041
AALM;7
AALN;
AALP;5115
AALR;
AALS;
AALT;17
AALU;1171,1254,1272
AALV;
AALX;356,1186,1215,1222,1507,2130,2466,3868,4472
AALY;7
AAMM;2267,3810,3811
AAMN;
AAMR;
AAMS;
AAMT;4649
AAMY;7,1384,2280,2768,3527,3810,5061,5062,5067,5071,5160
AANN;
AANO;585,1029,1792,1909,3077,3880,4712,4973,5250,5321
AANP;1792,5250,5285,5288
AANR;
AANS;
AANT;
AANZ;1265,3850,3988
AAPP;579
AAPR;
AAPT;3810,3811,4182
AAPU;1316,2986,3246,3281,4718,5125,5224,5288
AAPW;3797,4564,5125
AAPY;1792,3810
AAQU;117,944,3532,3646,5198,5224,5311
AARR;511,4878
AARS;
AART;
AARU;117,944,1146,1570,3532,4613,5224
AARV;3831
AARY;1798,2038
AASU;3144,4380
AASV;3730,4380,5315
AATU;2053,2741,2986,3281,3727,3829,4545,4639,4917,5021,5224,5231
AATV;3394,3831
AATW;844,1090,1240,2471,4404
AATX;299,422,3751,3868,4206,4282,4350,4472,5021,5146
AAWW;
AAWY;1740,1798
ABBE;585,598,5355,5510,5511
ABBL;589,5357
ABBO;5483
ABBR;610,621,5370
ABBS;
ABBU;5370
ABBY;
ABCH;
ABCK;5354,5589,5621,5638
ABCN;732,755,879,5354,5619,6063,6255
ABCR;
ABCS;6250
ABDE;
ABDI;111,1137,1138,1139,6781,6785,6801,6814
ABDL;
ABDN;6814
ABDO;
ABDR;
ABDS;5593
ABDU;117,6801
ABDW;732,1115,6332,6769,6837
ABEK;
ABEL;
ABEM;5355
ABEN;
ABEP;1316,5521,7254,7340,7348,7368,7584,7752
ABER;
ABES;
ABET;
ABEU;1254,1316,5945,6904,7375,7418
ABEY;
ABFF;
ABFL;1108
ABFR;728,5595,6847
ABFS;4,791,5442,5617,5659,5769,5863,6341,6725,7802
ABFT;6505,6847,7211,7213
ABGH;1275,1462,1463,6735,7861
ABGI;1449,6092,6746,7836,7874
ABGL;1462,6093,6746
ABGM;
ABGN;620,7836
ABGR;1487
ABGS;
ABGY;124,1041,1462,5892,6331,6376,6535,6746,6928,6933,7330,7860
ABHI;1492,1504,6759,7947
