AAABC;BIJOT
AAABK;HMRTU
AAABR;AGKOY,DMNRU,EGGMN,EGIMN
AAABY;DEEHH,ELLNZ
AAAFR;CMNOU
AAAGM;BDEEL,CILLY,CILRT,EGINT,ERRTV,HINOP,ILRRV
AAAKM;
AAALP;AEEGO,DEHNR,EEKRY,EKRRW,HNXYY
AAANN;CCEHT
AAANS;CCELV,CCEOU,EGGHR,ELPQU
AAANT;BDEIL,BEIPZ,DDELO,ILLOV
AAATT;CCEIP,DEIPV
AAAYY;HLNPX
AABBD;CEEKR,DEORR,EIRRZ,EOORV
AABBG;GILNR
AABBK;
AABBS;AINRR,CCIRR
AABBY;ELNTU,ILMNO
AABCC;IILOU,INOTU,LLLUY
AABCH;EEGLN,EEILV,EGLRY,EINTU,ELOUV,ERRTT,INOOP,INOTT,IOPQU,LRRUY
AABCI;ABJOT,CILOU,EEHLV,EENSY,EHLPT,EHNTU,EINTU,ELLPP,ELOTZ,ELPSZ,ENNTY,GKLNY,GLLSU,IKLOU,ILPTY,ILTTY,LLPPY,QSTUU
AABCK;ACNSV,AELTT,DGINT,GMMNO,IILOU
AABCL;EEHIV,EGHRY,IITTY,KMOOR,LNNNO,MOOOT
AABCR;EGHLY,FLNOU
AABCS;
AABDE;CCKKP,ELNPX
AABDH;CELTY,CMORT,COPRT,EKLLW,NORRW
AABDL;AEHRZ,CGKRU,EENPX,NNTUY
AABDN;EELPX
AABEM;
AABER;GHOOP
AABES;AELPP,BBJNO,CCCCI,HOPQU
AABET;
AABFT;CEEFL,CEIIL,CELOR,CIORR,DEINR,EELLL,EELNT,EHLMO,EIILR,EILLN,ENORR,FIILY,GILNU,LMNOY
AABGM;
AABHM;DDELO,EFLOT,HITVZ
AABHS;EOPQU,GOPRR
AABIL;BGGNR,CGKNY,CIPTY,CITTY,DOOPR,FFITY,GHOOP,HIOPS,HORTY
AABIN;CEITU,CHOOP,HOOPP
AABIR;BEETV,EFILT,EILPT,ELTTT
AABIS;CCCCE,CCKKP
AABIZ;CELOT,DELLY,HHMTV,HMTTV
AABJN;IILRU,IORTU
AABJR;BCIKT,EEKRW,IILNU,INOTU
AABKN;CDGIT,CGMMO
AABKR;AAGOY,AHMTU,EEHRT,EELMR,EELMT,ELTTW,KOORU
AABKS;CCJKL
AABLN;BCIIR,BETUY,BGGIR,CHOOR,DEEPX,DNTUY,DOPRY,GIINZ,GRUUY,IIRVY
AABLR;CDGKU
AABLS;AEEPP,GOORR,HIIOP
AABLT;CIIPY,CIITY,CMOOO,FFIIY,FMNOY,IIIMY,IIMTY
AABMM;CGKNO
AABMN;
AABMO;CDHRT,CGKMN,CIORT,CKLOR,CLOOT,DDILL
AABMP;CELOR,CHHIR,CILLY,CLORY,EIILR,EILRT,ILLPY
AABMR;
AABMS;
AABNS;
AABNU;BEELR,BEILL,BELLM,BELRY,BELTY,BILLT,BLLMY,CEHIT,CEIIT,CFLOR,CHRRY,EEHLL,EELRW,EGLRU,EIILT,EILLV,ELLLN,ELLUV,ELNOT,FGILT,GILTT,GLRUY,IIQRU,ILLVY
AABNW;DNORR,EELRU
AABNY;CHRRU,DLOPR,GLRUU,IILRV
AABOR;AAGKY,EGHOP
AABRR;EEKLM,EKLMY
AABRS;
AABRT;BCIJK,HIMVZ
AABRV;BEEIT,CEEIT,EEELL,EGIOT,EIORT,HIMTZ,ILLUV,LOPPY
AABRY;AAGKO,CEGHL,CHNRU,CLOUV,EILLZ,ELLLP,ILLNU,LOPPV
AABRZ;
AABST;CHHPY
AABSU;EHITT
AABSY;CEHPT,CHHPT,DEHHI,DJLTU,LTTTU
AABTT;CIILY,IILMY,IILRY,IILXY
AACCE;AHNNT,AIPTT,ANOSU,CDNOR,CINOT,CIORT,CNPTY,DHNOR,DJNOT,EORTV,HINNT,HINNW,HNOTY,HRTTW,IIPTV,IKMMO,INNOT,INOSU
AACCO;BINTU,CDENR,CDNRY,CEINT,DEJNT,EERTV,EHNTY,EINNT,HNTYY
AACCS;EJKLN,HIPRR
AACCY;BLLLU,CDNOR,CENPT,DHILR,DIILL,EHNOT,EHRRT,FILLR,GHIOR,GHIPR,GHOPR,HILNP,HNOTY,ILMMU,MNORT
AACDE;BCKKP,BDHKN,BKSWY,EEHNX,NNTTY,OOPPT
AACDH;CILMO,DKPWY,EEENX
AACDU;AIMNR,BBNRS,GHRTW,GORST,HIKRT,JNOTT,ORRST
AACEI;BENSY,CCNOT,CCORT,CCRSU,CIPTV,CKMMO,CNOSU,CORTT,ETUVV
AACEP;BCDKK,BCKKR,CEGRS,CIIST,CIITV,IIMST
AACER;ACIIL,BILQU
AACET;MMOTY
AACFI;ADINO,DINOO,FGINN,FINPR,IMORR,MNORU
AACFT;DEEOR,ERRRY
AACHK;HHISU
AACHN;DEEEX
AACHP;BIOQU,CGORY,GHRTY
AACHR;BLRUY,LMRYY
AACHY;BEGLR,BLRRU,CENOT,CGIOR,CGIPR,CGOPR,CILNP,CNOTY,DDKPW,DELMT,DLLOT,EILLL,EKMNN,ELPRT,EOPRT,GHPRT,GILNP,ILNNO,ILOPR,LMRRY
AACIR;CCESU,MRTUU
AACIS;BBCRR,BCCCE,BOQRU,CCERU,HHHKU,HHHUU
AACJL;DEITV,DENTY,FMMRY,GINTU,INOTU
AACKL;ABETT,BDGRU,BIIOU,BMOOR,CHLUW,EGIMN,EHHMS,EHMRS,EHNRS,EINSV,ERRTY
AACKY;EHMNN,ELRRT,GIMOR,ILLMR
AACLL;
AACLN;
AACLO;AGGIP,BDIIL,BIIKU,BKMOR
AACLP;
AACLR;ATUUV,BDGKU,BKMOO,FJMMY,FMOOR,HMRYY
