AAABC;55
AAABK;138
AAABR;5,100,107,109
AAABY;90,123
AAAFR;239
AAAGM;88,243,246,379,399,477,489
AAAKM;
AAALP;29,323,373,435,520
AAANN;161
AAANS;166,168,378,449
AAANT;94,118,305,542
AAATT;165,330
AAAYY;520
AABBD;585,606,612,620
AABBG;654
AABBK;
AABBS;58,583
AABBY;651,659
AABCC;693,700,705
AABCH;801,803,839,852,863,867,953,954,956,961
AABCI;55,693,803,814,849,852,871,876,886,887,894,944,946,964,970,972,982,1003
AABCK;62,71,765,948,964
AABCL;803,839,972,1007,1013,1015
AABCR;839,942
AABCS;
AABDE;670,1068
AABDH;731,770,772,1101,1171
AABDL;92,766,1068,1192
AABDN;1068
AABEM;
AABER;1310
AABES;106,581,667,1349
AABET;
AABFT;800,833,837,941,1080,1207,1208,1288,1290,1292,1301,1484,1486,1488
AABGM;
AABHM;1040,1288,1527
AABHS;1349,1497
AABIL;654,944,970,972,1180,1484,1496,1530,1537
AABIN;871,953,1545
AABIR;626,1290,1359,1409
AABIS;667,697
AABIZ;886,1118,1527,1544
AABJN;1557,1576
AABJR;599,1238,1557,1576
AABKN;765,948
AABKR;5,138,1223,1239,1240,1434,1610
AABKS;702
AABLN;598,651,654,960,1068,1192,1193,1501,1521,1564
AABLR;766
AABLS;106,1522,1530
AABLT;970,972,1015,1484,1488,1555,1561
AABMM;948
AABMN;
AABMO;770,948,998,1007,1015,1051
AABMP;918,949,980,1016,1355,1388,1581
AABMR;
AABMS;
AABNS;
AABNU;633,638,648,650,651,657,664,852,871,942,963,1224,1263,1331,1358,1378,1436,1446,1457,1486,1510,1521,1571,1586
AABNW;1197,1263
AABNY;963,1193,1521,1564
AABOR;5,1310
AABRR;1239,1431
AABRS;
AABRT;599,1541
AABRV;626,816,1202,1324,1424,1541,1589,1623
AABRY;5,839,963,1018,1382,1439,1585,1623
AABRZ;
AABST;950
AABSU;1342
AABSY;865,950,1098,1189,1629
AABTT;972,1561,1566,1567
AACCE;161,165,168,1631,1635,1636,1638,1653,1663,1697,1710,1711,1720,1724,1729,1730,1738,1741
AACCO;700,1631,1632,1635,1663,1697,1720,1738,1808
AACCS;1752,1799
AACCY;705,1632,1638,1677,1681,1720,1723,1772,1776,1777,1778,1791,1808,1828,1864
AACDE;670,707,745,1907,2095,2102
AACDH;1675,1900,1907
AACDU;208,589,2116,2128,2131,2181,2198
AACEI;814,1635,1636,1637,1729,1730,1741,1748,2265
AACEP;670,679,1688,1728,1729,2526
AACER;164,888
AACET;2716
AACFI;196,2110,2746,2747,2766,2781
AACFT;1913,2338
AACHK;2884
AACHN;1907
AACHP;956,1778,2800
AACHR;961,2949
AACHY;839,961,1720,1776,1777,1778,1791,1808,1900,1992,2138,2419,2480,2492,2511,2800,2806,2905,2909,2949
AACIR;1637,3099
AACIS;583,667,1002,1637,2884,2885
AACJL;2011,2067,2786,2838,3012
AACKL;71,766,964,1007,1804,2357,2409,2474,2476,2541,2663
AACKY;2480,2663,2840,3014
AACLL;
AACLN;
AACLO;241,773,964,1007
AACLP;
AACLR;297,766,1007,2786,2788,2949
AACLS;
AACMN;1669,1863
AACMS;603,1004,1009
AACMW;2482,2485,2664
AACNN;790,2144,2746,3083,3084
AACNT;2189
AACPR;174,186,211,679,1778,2194,2800,3160
AACPS;3138
AACPT;865,950,2194,2195,2234,2800,3138,3160
AACRS;
AACRT;3126
AACSS;20,271,300,1006,2873,2876,2883,2960,3162
AACSU;259,2768,2884,2885,3097,3132
AACSV;1859,1860,2759
AACSW;2873,3164
AACUV;863,2058,2105,2302,2694,3010,3132
AADDH;1900,3182,3187,3188,3202
AADDR;1052,3266,3268
AADDS;306,711,713,1875,1881,1891,1903
AADDU;1037,3219
AADDX;
AADEG;1962,3282
AADEH;92,1099,3188,3274,3301,3302,3307,3309,3310,3313,3314,3419,3515,3520,3524
AADEL;92,334,3300
AADEM;314
AADER;3301,3455,3685
AADFL;1157,1158,2109,3713,3714
AADFR;1157
AADGG;1034,1082,3254,3282,3410,3720,3721,3725
AADGR;1915
AADHL;92,731,769,1158,1652,1872,1992,3300,3505,3804
AADHN;1995,3310,3804
AADHW;1171,1900,1976,2116,3507,3795
AADIK;765,1111,2131,3394,3427,3748,3811
AADIN;
AADIP;1180,1962,2153,2154,3331,3337,3387,3450,3631,3713,3787,3833,3860
AADIS;12,337,3727
AADIZ;1109,1118,2036,3417,3558,3604,3640,3711
AADLN;
AADLS;
AADLT;365,1192,1196,1644,3263,3714,3737,3754
AADLW;1933,3795
AADMM;
AADMN;3885,3893
AADMP;3331,3863,3865,3885,3896
AADMR;
AADNP;1068,3520,3650
AADNS;1645,1646,1905,2093
AADNV;
AADNY;1139,1192,1969,2055,2067,2095,3369
AADPT;2102,2154,3520,3636,3713,3833,3860
AADPY;3520,3833,3863,3865
AADRR;343,367,1937,1961,2111,2143,3188,3280,3391,3604,3613,3640,3705,3709,3883,3886
AADRW;2116,3795
AADSW;1954,3316
AADSY;1098,1189,1954,2188,3265
AADSZ;335
AADTY;1189,1192,2095,2138,2188,3520,3833,3864
AAEER;212,585,1202,1206,1239,2250,3188,3301,3313,3322,3352,3909,3945,3960,3978,4030,4032,4041
AAEFN;1959,2323,2327,3395,3924,4176
AAEFR;4188
AAEGL;843
AAEGP;4354
AAEGT;
AAEGV;1038
AAEGZ;4244,4288
AAEHK;2418,2472,2477,2480,2483
AAEHP;3520,3984,3998,4378,4386,4409,4469
AAEKL;373,435,710,835,1242,2663,3394,4521
AAEKN;707,2658,3455,4022,4523
AAEKP;373,435,670,4064,4175,4526
AAEKW;435,1434
AAELN;4159,4734
AAELP;
AAELR;3300,3352,3365
AAELT;
AAELV;
AAEMR;314,3301
AAEMT;
AAEMZ;2679,4302,4666,4742
AAENP;3966
AAENR;1302,3177,3211,3418,3455,3909,4565
AAENS;384,581,756,1077,1645,1646,1670,1689,1884,2093,2727,4192
AAENT;
AAEOZ;886,1403,2371,2483,4288,4742,4799
AAEPR;
AAEQU;33,214,419,431,866,1107,1345,1350,1351,1405,3313,3460,3553,3618,3621,3624,3631,3685,3977,3991,4024,4068,4113,4255,4593,4834,4852,4853
AAERR;1405,1937,2407,2553,2694,3188,4001
AAERS;4072
AAERT;
AAERU;1957,3295,3313,3469,3618,3623,3624,3631,4154,4810,4843
AAERW;1434,1724,2482,4375,4413,4420
AAEVW;3308,3672
AAFFJ;
AAFGN;
AAFHL;1288
AAFHS;1910
AAFIM;1291,2111,2750,2751,2766,2770,2771,3713,3917,3924,4879,4884,4887
AAFIT;1290,1700,2771,3713,3917
AAFJL;2786,4887
AAFJS;
AAFKN;
AAFLN;1291,1959,2323,2758,3393,4143,4176,4177
AAFLS;336,466,675,1159,1289,1297,2315,3405,4130,4175,4876,4881,4891
AAFLT;1207,1208,1290,1484,3277,3713,3901,3919,3927,4143,4147
AAFLV;2761
AAFNU;239,2781,4856,4886
AAFRS;1489,4876,4878,4896
AAFRY;1772,2338,2778,2783,2786,3406,4188,4875,4877,4882
AAFSV;3708,3923
AAFTW;
AAGGR;471,1775,3254,4917,4925
AAGGW;3725
AAGHL;215,802,1211,1496,4931
AAGHR;34,479,676,802,839,1211,1310,1776,1778,2799,2800,4136,4235,4945
AAGHS;482,1311,1497,2811,2819,4190,4233,4945
AAGIL;4255
AAGIM;489,4255,4915
AAGIN;
AAGIR;4915
AAGIS;
AAGIT;1512,2829,3209,3932,4915
AAGJN;2837,4963,5005,5006
AAGJR;
AAGJS;
AAGJU;2838
AAGKN;948,1287
AAGLL;843,2875,4255,5023,5090
AAGLN;
AAGLR;5096
AAGLS;5090
AAGLV;
AAGLX;3954,4224
AAGLY;1216,3438,3759,3762,4937
AAGLZ;1501,2371,2825,2855,4244,4288,4965,4978,4984,5006,5043
AAGMM;4354
AAGMN;
AAGMR;246,489,4915
AAGMS;3953
AAGMT;246,1512,2829,2863,4300,4915,5066,5097,5106
AAGMY;393,4926
AAGNN;
AAGNP;477,2831,2864,4902,4903,4953,4963,4994,4997,5060,5091
AAGNR;1302
AAGNS;
AAGNT;
AAGNU;3295
AAGOR;5,1512,1525,1776,1778,2799,2804,2840,2856,4915,4937,4949,5096,5112
AAGPR;496,499,1778,2799,2800
AAGRS;112,369,2386,2873
AAGRT;2799,2800,2829,3977,5112
AAGRZ;4244,4288,4302
AAGSS;36,2873,2876,5114
AAGST;
AAGSV;
AAGUV;
AAHHS;37,950,2227,2341,2884,2885,2891,2892,4381,5129,5130
AAHHT;1527,2892,5129
AAHIK;2884
AAHJL;4377
AAHJR;504,2472
AAHKL;769,1804,2477
AAHKM;138,2472,5164
AAHKS;199,2884
AAHKY;1900,2480
AAHLL;1536
AAHLM;2949,3792
AAHLN;4224,4378,4931,4933,5174
AAHLO;264,769,863,1040,1338,1496,1537,2346,2951,3487,3793,3936,4378,4937,4947,5121,5138,5172
AAHLP;323,506,1496,4378,4380,4931,4933,5121,5122,5123,5140,5172
AAHLR;506,2949,2951,3300,4224,5131
AAHLT;
AAHLV;803,863,1338,3995,4449
AAHLW;2477,2485,3795
AAHMO;962,1040,1042,1288,2143,2346,3792,3931,3998,4001,4409,5121,5138,5172
AAHMR;2472,2485,2949,4436
AAHMS;
AAHMU;138,962,2954,3931,5164
AAHMW;2482,2485,4002,4451
AAHMZ;
AAHNP;113,480,525,3520,3998,4378,4931,4953
AAHNS;4154
AAHNT;4953
AAHNZ;3219
AAHOR;382,1171,1310,1338,1340,1537,2143,2144,2460,2483,3188,3787,3797,4001,4443,4937,5131
AAHPS;1349,1497,4190,4233,4469,4940,5130,5191
AAHPX;2460,4409,5155
AAHRR;413,526,961,963,1062,1063,1171,1223,2143,2477,2949,3188,3314,4001,4012,4440,4450,5188
AAHRS;
AAHRT;138,4136,4137,4231
AAHRY;504,839,952,961,1537,1776,2949,3797,4449,4937
AAHST;950,4469
AAHSW;39
AAHSY;502,518,1098,4442,4469,5147,5171,5175
AAHTV;1527,1544,3995,4449
AAHTW;
