AAABC;AABDRR
AAABK;
AAABR;AABCDR,GHIOOP
AAABY;CDDIRR,CILLNT,DLLPPU,LNRRTW
AAAFR;CELTTU,CIMNNO,CJLMNY
AAAGM;CHLOYZ,DEIRUV,DHILPR,EHIMNO
AAAKM;
AAALP;ALLOOZ,DHHRYZ,GINNQU,IORRTT
AAANN;ELPPRR,IIQRTU
AAANS;EEELPR
AAANT;DGGINV,DILLLO
AAATT;CEELOX,CEHILP,EEGRVX,ILOPRR
AAAYY;
AABBD;AAACRR,CEKLLL,EEORRV
AABBG;HIMNOT,IINRRZ
AABBK;IILNTY
AABBS;EEQRRU
AABBY;IIKLNT
AABCC;INOOTT,LNOTUY,LNRRUU
AABCH;EIINNT,IINNTY
AABCI;CGKNPS,CGKNST,DGHKNN,EELNQU,EHINNT,EINPUV,ELLLOS,ELLLOZ,GHKLNS,GHKLNU,GHKNSW,GILLOO,GLLOOT,HINNTY
AABCK;DDIMNO,MNSSTU
AABCL;FMNOYY,GIILOO,GILOOT
AABCR;AAABDR
AABCS;GKMMNO
AABDE;CCJKKL
AABDH;CCEKTT,MMOORY
AABDL;CCEJKK
AABDN;EELOTT
AABEM;
AABER;
AABES;
AABET;HHIOPP
AABFT;BEGLRS,CEELRR,CEILNO,CEINOT,EELLRT,EIILSS,EILLRT,EILMNO,LNOSUU
AABGM;
AABHM;BEILNO,BGINOT,EHIOOP,EINOOP
AABHS;EELQTU,LLLOOU
AABIL;AACCHN,CCPRTY
AABIN;CEIPUV
AABIR;
AABIS;
AABIZ;AEKLLL,CELLLO,EEHLPT
AABJN;CIINOT,EGIKRW
AABJR;EGIKNW
AABKN;BIILTY,CCGIKP,CDDIMO,CGHILU,GHILLW
AABKR;DEEELR
AABKS;
AABLN;ARRTWY,CGHIKU,GHIOOP
AABLR;CCNRUU
AABLS;GHIOOP
AABLT;
AABMM;DHOORY,EEOPRT,FILLNY
AABMN;
AABMO;DORRRT
AABMP;CCELOT,DEEILL,DIILRY,EELTTT,EFIILL,EGLORR,EHHIOO,EHINOO,EILLNT,EILLNU,ELRRUY
AABMR;DOORRT
AABMS;
AABNS;
