AAABC;L,N,S
AAABK;K,L,S,Y
AAABR;L,S,T,Z
AAABY;K,S
AAAFR;S
AAAGM;S
AAAKM;L,R,S
AAALP;C,M,P,S
AAANN;B,D,G,M,S,Z
AAANS;B,M,N,S,T
AAANT;K,M,R,S,T
AAATT;A,B,M,N,S
AAAYY;S
AABBD;S
AABBG;S
AABBK;S
AABBS;D,G,K,T,Y
AABBY;C,S
AABCC;E,S
AABCH;M,S
AABCI;M,R
AABCK;R
AABCL;A,S,U
AABCR;I,K,S
AABCS;A,C,H,L,R,U
AABDE;R,S,T,U
AABDH;A,I,S
AABDL;L,M,S
AABDN;I,M,R,S
AABEM;E,G,L,N,O,S,T
AABER;D,L,S,T,U,Z
AABES;D,G,M,R,S,T
AABET;D,G,K,L,M,R,S,U,Z
AABFT;
AABGM;E,I,N,S
AABHM;C,R,S
AABHS;C,D,I,K,M,S,W
AABIL;E,L,M,U,X
AABIN;D,G,N,Q,R,S,W,Z
AABIR;C,D,G,M,N,R,S,Z
AABIS;A,H,N,R,S,T,W,Z
AABIZ;N,R,S
AABJN;H,S,X
AABJR;S
AABKN;N,R,S
AABKR;C,N,S
AABKS;A,B,H,N,R,U
AABLN;L,S
AABLR;A,B,E,H,L,M,O,Z
AABLS;C,D,M,N,S,T
AABLT;A,E,L,S,U
AABMM;S
AABMN;C,D,E,G,R,S,T,Y
AABMO;E,S,Y
AABMP;S
AABMR;H,I,L,N,S,Y
AABMS;E,G,H,L,M,N,O,P,R,S,T
AABNS;A,D,I,J,K,L,M,S,T,U,W,Y
AABNU;S
AABNW;H,I,S
AABNY;M,N,S,Y
AABOR;D,L,N,R,S,T,Z
AABRR;D,I,O,S,T
AABRS;A,C,E,I,J,K,M,O,R,S,T,V,Y,Z
AABRT;A,D,E,G,O,R,S,Y
AABRV;S
AABRY;D,M,S,T
AABRZ;A,E,I,L,O,S
AABST;B,E,I,L,M,N,R,T
AABSU;C,K,N,O,S
AABSY;A,B,N,R
AABTT;A,S,U,W
AACCE;B,L
AACCO;L,M,S
AACCS;B,O,Y
AACCY;S
AACDE;F,I,L,R,U
AACDH;R,S,T
AACDU;C,D,E,L
AACEI;D,F,L
AACEP;H,L,N
AACER;D,F,H,J,M,N,S,T
AACET;H,L,N,R,S,U,V,X
AACFI;E,L,S
AACFT;N
AACHK;C,N,P,R,W
AACHN;C,G,K,L,M,O,R,S,T,Z
AACHP;E,K,S
AACHR;D,E,K,N,S,T
AACHY;S
AACIR;B,D,G,L,N,P,V
AACIS;F,M,N,P,S,T
AACJL;K,S
AACKL;J,P
AACKY;S
AACLL;H,I,N,S,U
AACLN;E,H,L,O,R,S,T,U
AACLO;C,F,N,S,T,X
AACLP;A,C,E,I,K,R,S,U
AACLR;C,I,N,P,S,W
AACLS;B,E,H,J,L,N,O,P,R,U
AACMN;B,H,I,R,S,Y
AACMS;H,I,N,S,W
AACMW;S
AACNN;C,E,S
AACNT;E,F,H,L,P,R,S,T,V
AACPR;I,L,S
AACPS;H,I,L,R,S
AACPT;A,I,N
AACRS;B,E,F,H,L,P,T,U
AACRT;C,E,H,M,N,R,S,V
AACSS;I,M,P,V
AACSU;B,E,L,R
AACSV;A,N,S
AACSW;H,M
AACUV;
AADDH;S
AADDR;E,W
AADDS;H,T,U
AADDU;C,O,S
AADDX;
AADEG;J,L,M,N,S,Z
AADEH;K
AADEL;C,D,F,G,S,T,V,Y
AADEM;G,K,M,N,T,Z
AADER;B,C,D,F,P,S,T,W
AADFL;E,W
AADFR;C,E,I,N,S,T
AADGG;A,S
AADGR;H,I,N,S,U,Y
AADHL;I
AADHN;K,R,S,X,Y
AADHW;S
AADIK;S
AADIN;B,M,R,S,T,V
AADIP;P
AADIS;K,L,N,Q,T,Z
AADIZ;S
AADLN;D,O,S,U,V
AADLS;B,E,I,L,N,S,T,W
AADLT;E,S
AADLW;F,M,S
AADMM;E,H,N,R,S
AADMN;B,E,G,I,M,S
AADMP;C,L,S
AADMR;A,H,I,M,S,U,Z
AADNP;A,G,N,R,S
AADNS;B,H,I,K,L,M,P,R,V,Y
AADNV;I,L,S
AADNY;H,S
AADPT;S
AADPY;P,S,Y
AADRR;B,S
AADRW;D,E,S,V
AADSW;H,L,P,R
AADSY;N,P
AADSZ;I,S
AADTY;R
AAEER;P,T
AAEFN;B,G,R,S,U
AAEFR;C,D,F,G,L,N,S
AAEGL;D,E,G,M,N,R,S,T,V
AAEGP;A,R,S,V
AAEGT;B,E,L,N,S,U
AAEGV;G,L,P,R,S
AAEGZ;D
AAEHK;D,P,S,T
AAEHP;C,K,R,W
AAEKL;M,N,S
AAEKN;L,N,S,W
AAEKP;H
AAEKW;D,M,N,S
AAELN;C,G,K,N,P,T
AAELP;C,E,L,N,P,R,S,T
AAELR;B,F,G,I,M,O,P,T,U,V
AAELT;B,C,D,E,G,H,M,N,P,R,S,V,Z
AAELV;D,F,G,I,R,S,T
AAEMR;C,G,L,S,T
AAEMT;B,D,H,L,N,R,S
AAEMZ;D,S
AAENP;C,L,M,O,S,V
AAENR;C,F,S
AAENS;F,K,M,P,R,T,U,W
AAENT;C,D,G,H,I,L,M,S
AAEOZ;E,N,S
AAEPR;D,E,G,H,L,P,R,S,T,Z
AAEQU;
AAERR;P,R,S,T,W
AAERS;B,C,D,F,I,K,M,N,P,R,T,Y
AAERT;B,C,D,E,K,L,M,O,P,R,S,T,U
AAERU;B,L,T
AAERW;D,R,X,Y
AAEVW;
AAFFJ;S
AAFGN;E,H,I,R,S
AAFHL;S
AAFHS;L,R
AAFIM;F,S
AAFIT;F,J,N,S
AAFJL;
AAFJS;F
AAFKN;S,T
AAFLN;S,U
AAFLS;H,N,V
AAFLT;O,U
AAFLV;E,S
AAFNU;E,L,S
AAFRS;A,C,D,E,H,I,Y
AAFRY;F,S
AAFSV;L
AAFTW;H,S
AAGGR;B,E,S,T
AAGGW;S
AAGHL;S,Z
AAGHR;D,M,N,R
AAGHS;L,M,N,T
AAGIL;N,O,P,R,S,V
AAGIM;B,C,D,N,S
AAGIN;B,C,F,H,K,L,M,N,R,S,T,U,V
AAGIR;B,C,D,L,N,P,S,W,Y
AAGIS;L,M,N,O,R,S,T
AAGIT;N,S
AAGJN;H,R,S
AAGJR;N,S,U
AAGJS;N,R,U
AAGJU;D,R,S
AAGKN;H,I,S
AAGLL;N,P
AAGLN;E,I,L,M,O,R,S,T,U
AAGLR;A,E,I,N,S,T
AAGLS;E,H,I,N,R,T,Y,Z
AAGLV;E,I
AAGLX;Y
AAGLY;C,K,S,X
AAGLZ;H,S
AAGMM;L,N,R,S,T
AAGMN;B,D,E,G,I,L,M,R,S,Z
AAGMR;E,H,M,N,P,S,Y
AAGMS;A,B,H,I,M,N,R,Y
AAGMT;M
AAGMY;R,S
AAGNN;A,E,I,O,S,W
AAGNP;D,R,S
AAGNR;D,F,H,I,J,L,M,O,P,R,S,Y
AAGNS;F,H,I,J,K,L,M,N,P,R,S,T,U
AAGNT;E,I,L,O,S,U
AAGNU;H,I,L,S,T,Y
AAGOR;E,N,S
AAGPR;E,I,M,N,P
AAGRS;D,G,I,J,L,M,N,O,T,Z
AAGRT;B,G,L,S
AAGRZ;S
AAGSS;B,I,N,T
AAGST;E,H,I,L,N,R,S
AAGSV;E,U
AAGUV;R,S
AAHHS;
AAHHT;N,P
AAHIK;I,M,P,R
AAHJL;S
AAHJR;N,R,S
AAHKL;S,T,Y
AAHKM;I,S
AAHKS;B,E,L,M,P,S,Y
AAHKY;L,S
AAHLL;A,C,H,L,N,O,P,S,W
AAHLM;E,M,S,T,U
AAHLN;C,L,S
AAHLO;L,S
AAHLP;L,S
AAHLR;B,S,T
AAHLT;C,E,I,K,M,R,S
AAHLV;H,S
AAHLW;A,L,S
AAHMO;S
AAHMR;A,B,D,G,N,P,S
AAHMS;B,C,E,G,I,K,L,N,O,R,S,T,U,W,Z
AAHMU;L,S
AAHMW;S
AAHMZ;H,S,T
AAHNP;S
AAHNS;C,D,G,L,M,P,S,T,Z
AAHNT;C,E,H,I,K,M,N,S,W
AAHNZ;C,S,Z
AAHOR;S
AAHPS;C,K,L,N,S
AAHPX;
AAHRR;G,I,J
AAHRS;C,D,F,I,J,L,M,O,S,T,Y
AAHRT;C,L,S
AAHRY;P,S
