AAABC;CR,HT,IR,MR,OR,TW
AAABK;
AAABR;CC,CI,CM,CN,CO,DF,NN,OR
AAABY;
AAAFR;BD,DY,HT,IT,WY
AAAGM;JU,LM,LN,MT,NR,TT
AAAKM;MU
AAALP;BR,LT,NT
AAANN;CR,HL,LT,TT
AAANS;CD,CJ,CR,DH,DP,DR,FR,GL,HV,IP,KK,PP,RU
AAANT;CG,CH,CL,CP,GH,GY,LN,LP
AAATT;HT,PU,RT,RU
AAAYY;DW,LW
AABBD;GR
AABBG;CE,CY,DR,EN,RT
AABBK;AL,CR
AABBS;AL,BO,CO,CU,EI,HL,LL,LO,SU
AABBY;
AABCC;AL,AR,HH,IR
AABCH;AT,CH,HR,IR,KO,NR,OR
AABCI;OP,TX
AABCK;FT,HO,LY,NN,PY,SW,WY
AABCL;CE,EN,EP,ET,IM,KY,PY
AABCR;AC,AM,AN,AO,CE,EF,EM,ER,ET,HH,HN,HO,NR,OR,OT
AABCS;BO,EM,EO,KW,MT
AABDE;DL,DN,FL,GM,GN,KW,LL,LW,MM,MN
AABDH;GN,GR,NT,NY,RU
AABDL;DE,DN,EF,ET,EW,IN,RW
AABDN;AN,DE,DL,EG,EU,GH,HT,HY,NO
AABEM;CR,DM,JU
AABER;CC,CF,CK,CM,CR,GG,GM,GR,IO,KP,KY,NP,PW,RW
AABES;BI,CO,FN,IK,IL,KN,LL,LN,LV,LY
AABET;CC,HN,NY
AABFT;CK
AABGM;DO
AABHM;TT
AABHS;BL,BT,ER,GN,GT,JN,LR,NV
AABIL;AG,BJ,DN,GI,IZ,NS,RS,ST
AABIN;EK,EL,HT,LL,LM,MO,OU
AABIR;EO,LL,OT
AABIS;BE,DE,DI,EK,EL,GM,LL,LM,LU,MO
AABIZ;IL
AABJN;
AABJR;MT
AABKN;EI
AABKR;DI,EP,EY
AABKS;CW,EI,ET,MT
AABLN;CE,DD,DI,EI,EM,EO,ER,FO,IM,TT
AABLR;DW,FU,IS,PU,ST,SU,TU,TY
AABLS;AB,AK,AQ,BH,BL,BO,EI,EL,ER,EV,EY,HR,IL,IR,IU,KU,LO,LY,OV,RU,RZ
AABLT;HY,NT,OR,RY,XY
AABMM;CU,DE,IR
AABMN;IL,IO
AABMO;BC,DG,IN,NT,RU
AABMP;
AABMR;AC,CE,EG,JT,OU,TU
AABMS;CU
AABNS;EF,GH,HV,OR
AABNU;DE,DR,IO
AABNW;EN
AABNY;DH,ET,LL
AABOR;AC,CH,EI,MU
AABRR;CE,CK,CN,EG,EW,UV
AABRS;DH,DN,DU,GG,HL,LU
AABRT;IN,JM,KN,LU,MU
AABRV;DO,RU
AABRY;EK,GG
AABRZ;
AABST;DU,GH,HK,UX
AABSU;DE,DR,DT,EG,ER,IL,LR,LT,QU,RR,TX
AABSY;CL,EL,LL,LM,LS,MO,MS,SS
AABTT;CO,EL,ER,HI,HM,LN,OY
AACCE;DI,DM,DS,FT,KR,NV,RS,ST,SV
AACCO;HR,IR,RU,TT
AACCS;AI,AR,DE,DI,DU,ER,ET,EV,HK,HM,HN,IL,IM,IN,KR,LP,LR,LU,NN,RS,RT
AACCY;NV
AACDE;CM,CS,EM,HM,HT,MY,NV,NZ,PS,TV
AACDH;EM,GI
AACDU;PR
AACEI;GP,HN,HR,MN,MU,NR,QU,RV,ST
AACEP;DS,GI,GK,MR,OT,RT,RU,RV,SS,WY
AACER;BC,BK,BR,CK,EG,GG,IV,LO,LP,LV,PU,PV,WY
AACET;BC,CF,EK,ET,KO,OP
AACFI;DR,NT
AACFT;BK,CE,EL,LL,LP,LR,LU
AACHK;BO,ES,IL
AACHN;EI,EP,PX
AACHP;CM,CT,IR,IT,LP,LU,MN,NO,NX
AACHR;AY,BH,BI,BO,CI,CO,IL,IM,IP,WY
AACHY;AR,IT,KR,NR,RW
AACIR;AM,AS,CH,CO,CT,EH,HK,HM,HS,HT,KT,MM,MO,SS,ST
AACIS;AC,AR,CD,CL,DE,DG,DI,DR,GL,GR,GU,HR,LL,LO,RV
AACJL;IP
AACKL;BY,HI,IL,IR,TW
AACKY;BL,BP,BW,DP,HR,PW
AACLL;AV,CO,CT,DE,ET,FT,FY,OO,OR,VY
AACLN;AM,II,IP,PY
AACLO;AB,DR,ER,EV,GU,HI,LO,LR,PR,RZ
AACLP;BY,FT,HP,NY,OT,TY
AACLR;AM,AZ,DE,DO,EH,EM,EO,EV,FT,FU,LO,MU,OT,OZ,TY,VY
AACLS;CI,FI,GI,GY,IM,MT,TT
AACMN;AL,AP,EF,EL,EP,EV,JK,KP,LO,LT
AACMS;AR,BE,BT,BU,CO,DP,EE,EO,ER,GG,LT,LU,OR,OY,RT
AACMW;
AACNN;AR,BK,IK,IT,LO,LU,OZ
AACNT;AG,DI,GI,GJ,II,IK,IN,OZ
AACPR;AX,DU,EM,ET,EU,EV,KT,NT,OP
AACPS;AT,DE,DM,EN,KZ,NT,TW
AACPT;CH,CL,EL,EO,ER,FL,JU,KR,LO,LR,LY,SW
AACRS;AC,AI,AM,AN,CK,CS,DI,DN,DS,DZ,GI,IN,IS,IV,KN,KR,MO,MS
AACRT;BO,FL,IK,KP,LO,LP,LY,OU,TT,UY,WY
AACSS;AB,AT,BH,BR,CR,DR,EE,EL,EN,ER,HN,HW,JK,LR,LU
AACSU;CD,GI,HN,JO,NT
AACSV;CE,EG,ET,IR,LU,RT
AACSW;BK,EL,PT
AACUV;ET,LS,OT,RT
AADDH;CR,EH,KR
AADDR;CH,GN,HK,HS,MY,ST
AADDS;BN,ER,EX,IL,IM,LN,RW
AADDU;
AADDX;ES
AADEG;EH,FR,GR,HR,OT,RT,RV,RY
AADEH;BS,CM,CR,CT,DH,EG,FT,GR,IR,JR,MN,MS,NX,PS,PW,RW,WY
AADEL;AM,BL,BW,IR,KR,LP,MN,MO,MR,MX,NR,NW,NX,PR,RU
AADEM;AL,BS,CC,CE,CH,CY,HS,IR,IS,JR,LO,LR,LX,RY,SS
AADER;EN,GG,GH,GM,GV,GY,HI,HJ,IL,IM,IN,IO,JM,KL,KM,LM,LN,LU,LY,MY,NV,RY
AADFL;
AADFR;AB,AY
AADGG;CI,ER,HR,LR,OT
AADGR;BB,EF,EG,EM,ET,EV,GL,OP
AADHL;RY
AADHN;BG,BT,EM,IP
AADHW;AY,EP,ER,EY,RY
AADIK;BD,BR,DI,EK,LY
AADIN;CD,CE,EZ,GW,HP,IO,LP,NN,NP
AADIP;ES,HN,IS,LN,LS,NN,NT,OZ,TX
AADIS;BE,BI,BR,CC,CE,CG,CI,CR,DM,EF,EM,EP,ER,GM,GO,HM,IP,MR,RU
AADIZ;EN,OP
AADLN;AM,BI,CE,EM,ER,ET,EW,EX,GR,IP,IR,LL,LW,MN,RY
AADLS;CO,MP,PR,RU
AADLT;FW,IM,IR,IV
AADLW;BE,BR,EN,GL,IY,LN
AADMM;AC,GI
AADMN;AL,AT,HR,LN,LO,LU,NO,OR,OW,RW,RY,TU
AADMP;AP,OP,PU
AADMR;BN,DY,EG,EJ,EK,EL,EY,GN,KY,LL,LO,NO,NW,NY,OT,RY
AADNP;DE,HI,IL,IT,LO
AADNS;AC,AN,EG,ET,EU,EW,FT
AADNV;CE,DV,ER,RW
AADNY;GR,IM,LR,MR,OR,RR,RT,RW
AADPT;DE,EL,ER,IN,IX,OR,OT,TU
AADPY;CK,LO
AADRR;EP,EW,EY,FN,IN,IW,LU,MY,NW,NY,OP
AADRW;BL,BR,GY,HY,IN,IR,KW,MN,NR,NY,OY,WY
AADSW;BN,EN
AADSY;BR,CK,ER,ES,GR,HW,IL,MY,RT
AADSZ;CR,HR,MR
AADTY;BO,EL
AAEER;BZ,CG,CH,CM,DF,DN,DW,FF,GV,KW,LO,SW
AAEFN;CM,DZ
AAEFR;ET,IR,MT,QU,RW,WY
AAEGL;AB,BF,HU,HY,OP
AAEGP;CI,CK,GO,IN,LO,NN,NO,NT,NW
AAEGT;CR,DO,DR,FW,GR,IT,IZ,MR,MT,RT,TW,WY
AAEGV;IN,NT
AAEGZ;IT
AAEHK;RY
AAEHP;DS,HT,IL,LS,LX,NS,SX
AAEKL;BT,DR,EG,FO
AAEKN;BI,CP,GT,HT
AAEKP;BR,CG,CN,DR,DS,KY,RT,TU
AAEKW;ER
AAELN;BI,BL,BM,BO,BR,BS,DM,DR,DW,DX,EM,IM,IO,LV,LZ,MU,OV,RS,SS,SY,WY,YZ
AAELP;AM,BY,GO,HI,HX,IX
AAELR;CD,CH,CS,DK,DN,DY,LY,NS
AAELT;OX
AAELV;CN,CO,LN,NO
AAEMR;DI,DJ,DK,DY,IR,IU,KR,MM,NO,NU
AAEMT;EG,EX,GT,IM,IV,MM,MO,OY,OZ
AAEMZ;OT
AAENP;AG,BR,DD,GI,GN,GT,GW,HR,IT,PR,TT
AAENR;BL,BP,BT,DE,DI,DL,DV,DW,GI,GL,GM,GR,GT,GW,HP,JT,LP,MO,MT,MU,PP,RT,TT,TU,TV,UW,UZ
AAENS;BL,CL,CS,DG,DI,GL,GN,HY,LN,LS,LY,NZ,OZ,SV
AAENT;BR,BY,JR,NN,NT,NV,PT,RR,RT,RU,RV
AAEOZ;MT,PT
AAEPR;BK,BN,BW,CM,CU,CV,JO
AAEQU;CI,CM,FR,GY,MS
AAERR;BC,BD,BG,CF,DY,FI,GI,GL,GN,GV,IM,KM,LO,OU
AAERS;EW,GG,GL,GO,GV,LO
AAERT;GG,GN,HI,IV,IW,JN,NV
AAERU;CP,CS,FQ,IM,MN,NW,NZ,OR
AAERW;BP,EK,ES,ET,FL,GM,GN,GP,IT,IV,LM,NU,ST
AAEVW;IR
AAFFJ;
AAFGN;LM
AAFHL;IK,WY
AAFHS;GN,MT,TW
AAFIM;
AAFIT;AR,PR,QU
AAFJL;LW,OR
AAFJS;IT
AAFKN;
AAFLN;BO,FI,GM,IT,OR
AAFLS;CI,CU,ER,FR,IK,LL,TU
AAFLT;CE,CL,CP,CR,DW,IN,LY
AAFLV;
AAFNU;IN
AAFRS;FL,FP,FZ,GN
AAFRY;AD,AW,EW,IU,IW
AAFSV;
AAFTW;DE,DL,EG
AAGGR;DH,DL,JY,LY
AAGGW;NY
AAGHL;AN,DI,EU,EY,IR,NT
AAGHR;AP,IL,SW
AAGHS;BW,CE,DR,RW
AAGIL;AB,AD,BI,BM,CL,CM,DH,MY,TW
AAGIM;LY
AAGIN;AZ,DW,EP,EW,GJ,PY,WW
AAGIR;ER
AAGIS;CD,CU,EU
AAGIT;AP,DO,ET,EZ,LO,LR,LW,OT
AAGJN;CT,GI
AAGJR;GY
AAGJS;
AAGJU;AM,ET
AAGKN;AR,ET,KO
AAGLL;CI,DW,ER,ET,VY
AAGLN;AG,AH
AAGLR;DG,DU,GY,OU,UU,VX
AAGLS;GO,MM
AAGLV;LY,RX
AAGLX;ES,RV
AAGLY;DM,EH,GR,IM,IN,LV,NO,NT
AAGLZ;
AAGMM;DI,UY
AAGMN;HN,HU,HW,OT,PY
AAGMR;DI
AAGMS;CG,DE,ES,OU
AAGMT;AT,DO,EE,EL,EN,ER,ET,IN,NO,NR
AAGMY;BN,DL,IL,MU,NP,OP
AAGNN;HM,MR,RU
AAGNP;AE,EI,EN,EO,ET,EW,IL,IY,MY
AAGNR;AK,AT,AU,CE,ET,EW,NU,TV
AAGNS;BD,DE,GZ,WY
AAGNT;AC,AH,AR,AY,CJ,DR,GH,GT,HK,MR,RV
AAGNU;AR,CO,NR
AAGOR;DH,DP,FR,KT,LU,PU
AAGPR;AH,DO,OU
AAGRS;EF,EP,EV,HW,PP,RY,UV
AAGRT;AN,CE,DE,DN,EM,EN,ET,IN,KO,MN,NV
AAGRZ;IN,NO
AAGSS;EM,EP,EU,EV,EW,GR,OP
AAGST;MM,OU
AAGSV;IL,IN
AAGUV;
AAHHS;AD,BI,BK,BS,CL,DP,GT,IR,JJ,LL,LV,MZ,NT
AAHHT;CW,DR,GS
AAHIK;AW,CL,CN,FL
AAHJL;
AAHJR;DE
AAHKL;AH,CI,FI
AAHKM;CN,CP
AAHKS;AR,CC,CN,CR,CW,DN,GN,IR,JT,KT,NT,NU
AAHKY;CR,DN,ER
AAHLL;
AAHLM;AR,IR
AAHLN;AG,AN,ET,GT,IT,PX,RW
AAHLO;CI
AAHLP;CE,CP,CU,EI,EX,IV,NX
AAHLR;AM,CE,CI,DY,GI,IM,MU,NW
AAHLT;BY,GN
AAHLV;IP
AAHLW;FY,NR
AAHMO;IN,PR
AAHMR;CI,IL,LU
AAHMS;AD,DM,MM
AAHMU;GN,NN
AAHMW;GN
AAHMZ;IN
AAHNP;CE,CM,CO,CX,DI,DR,ER,HT,IO,IP,IR,LX,OR
AAHNS;AV,BI,BJ,BV,BW,EY,IW,JR,KU,NO,UW
AAHNT;AG,BD,GG,GL,OR,RX,RY
AAHNZ;IM
AAHOR;BC,CC,DG,HP,IK,MP,NP,NT,NV
AAHPS;AI,DE,DH,DR,EW,EX,IR,MR,PR,RY
AAHPX;CN,EL,ES,LN
AAHRR;CT
AAHRS;AK,BE,GN,GW,PP
