AAABC;9,10,11,15,18,20
AAABK;
AAABR;9,11,15,16,18,21,49,51
AAABY;
AAAFR;21,107,144,145,147
AAAGM;158,160,161,165,166,168
AAAKM;225
AAALP;44,229,234
AAANN;91,188,233,258
AAANS;67,81,93,116,129,130,146,163,193,208,220,260,263
AAANT;70,73,85,92,151,175,233,234
AAATT;196,271,274,275
AAAYY;132,237
AABBD;284
AABBG;278,279,284,286,290
AABBK;6,280
AABBS;7,277,282,283,287,291,294,296,298
AABBY;
AABCC;8,9,303,304
AABCH;10,303,318,319,320,322,323
AABCI;327,328
AABCK;317,320,329,330,331,334,335
AABCL;300,309,310,311,325,329,337
AABCR;9,15,16,18,301,307,312,315,316,318,322,323,342,343,344
AABCS;282,313,314,334,340
AABDE;349,350,356,357,358,362,363,365,366,367
AABDH;375,376,381,382,384
AABDL;349,354,356,364,365,387,397
AABDN;26,350,354,358,369,375,381,382,400
AABEM;312,366,450
AABER;301,307,308,312,315,427,429,431,446,454,456,487,491,492
AABES;287,314,424,440,443,453,462,468,476,477
AABET;302,436,489
AABFT;317
AABGM;377
AABHM;542
AABHS;291,292,437,510,511,533,537,543
AABIL;29,293,387,513,547,557,559,560
AABIN;439,442,530,551,554,563,568
AABIR;446,552,576
AABIS;287,361,385,440,443,515,553,555,561,564
AABIZ;547
AABJN;
AABJR;582
AABKN;439
AABKR;386,454,456
AABKS;334,440,457,584
AABLN;309,354,387,442,463,466,467,504,554,605
AABLR;397,505,559,608,610,611,613,614
AABLS;7,36,45,291,294,296,443,462,472,476,477,537,553,559,561,583,595,598,607,611,612
AABLT;538,605,606,614,619
AABMM;339,366,562
AABMN;554,563
AABMO;281,377,563,620,623
AABMP;
AABMR;15,312,429,582,623,626
AABMS;341
AABNS;424,510,543,631
AABNU;369,403,568
AABNW;486
AABNY;382,489,593
AABOR;18,323,446,623
AABRR;315,332,342,431,492,644
AABRS;383,402,412,506,537,611
AABRT;571,582,587,613,626
AABRV;406,644
AABRY;456,507
AABRZ;
AABST;414,511,536,648
AABSU;374,412,414,434,495,561,611,617,640,642,648
AABSY;338,477,598,604,616,624,628,646
AABTT;345,478,497,532,542,605,639
AACCE;651,652,653,658,659,661,662,663,664
AACCO;675,685,707,709
