AAABC;CMW,HMU,ITT,PRY
AAABK;DIR,DNT
AAABR;CPY,DIK,EHN,EMP
AAABY;CPR,DHI,EGL,GIL,GLN
AAAFR;CDI,MQU
AAAGM;BNQ,CNP,DIM,DLY,DRT,ELX,PRR
AAAKM;AIN,AKT,IKM,TUU
AAALP;DIL,GGO,GIT,INR,IRV,IRX,LRX
AAANN;CEP,IRR
AAANS;ARW,CEP,DKW,EGP,EHP,GIR,GIZ,GKR,GPR,GRR,HIR,ORW,ORY
AAANT;BCI,CIV,DEV,GLV,QUU,WWY
AAATT;CCR,HWY
AAAYY;
AABBD;BEK,CEG,CKN,ERT
AABBG;
AABBK;BDE,CDN,CET,ELN
AABBS;BEL,ELU,IRU
AABBY;ELR,LLM
AABCC;AMW,CHI,HIN,HIZ,HKT,HNT,INN,KKP,KLL,KLP,KLW,MOT,MOY
AABCH;ABL,ALU,CCI,CEK,CIN,CIZ,CKT,CNT,DKN,DKR,EKL,FKL,KLU,LOO
AABCI;ALP,ANT,ATT,BES,BST,CCH,CHN,CHS,CHZ,CNN,DEN,DET,DIS,DLL,DLU,DNT,ETT,FIL,ILS,KLT,LNN,LNO,LST,NNN,NNS,NOT,NSU,OSS,SSS
AABCK;BDN,BET,BST,CEH,CHS,CHT,CKP,CLL,CLP,CLW,CST,DET,DHN,DLN,DLO,EHL,ELM,ELP,ELS,EST,FHL,FLL,HLS,HLU,ILT,KLT,LLW,LNO,LPS,NPS,STY
AABCL;CKL,CKP,CKW,DEL,DIL,DIR,DKN,DKO,EEF,EER,EHK,EKM,EKR,ELL,ELR,EOR,EWY,FHK,FII,FKL,FKT,HIR,HOO,IIR,IKT,ILR,INN,INO,IOR,KKT,KLW,KNO,LLO,LLY,MRY,NTY,RRY
AABCR;APY,EEL,ELL,ELN,ELO,ELP,HMY,LMY,LRY
AABCS;BEG,BEI,BIT,BKT,DII,DIM,DNT,EKT,FKT,INN,IOP,IOS,ISS,ITX,KNN,KNP,KPY,KTY,OTT
AABDE;AHH,BBK,BCG,CIN,CLN,EHL,ELV,HHI,ILN,JNX,NVW
AABDH;CKN,CKR,DEL,DEN,EEL,EER,EKR,EMR,ENR,FLN,LLN,LLR
AABDL;AHH,CEN,CIR,CIU,CKN,CKO,EEH,EER,EEV,EGR,EIR,ENR,EOR,EPR,ERY,FHN,GNR,IIR,NPT,OOT,OPR,ORR,ORY
AABDN;AKT,BCK,CEL,CHK,CKL,EJX,EVW,FHL,GOV,HLL,LPT,NTU
AABEM;APR,DHR,MXY
AABER;AHN,AMP,CHN,CIN,EGK,EHM,EKW,EMP,ENO,GHN,GIN,GNO,HIR,HNO,IMN,KMN
AABES;BBL,BLO,BLU,CCL,CEH,CHL,CKL,CLP,CLU,HKL,HLP,HLW,JNX,NNW,QUU,ZZZ
AABET;CIT
AABFT;ELU,LLS,LOT
AABGM;ORR
AABHM;IIP,IJY
AABHS;ALQ,ELP,ELV,ENT,EPT,HRU,RRU
AABIL;ABT,ACP,ATT,BRT,CDR,CFI,CHR,CIR,CIS,CKT,CNN,CNO,COR,DIR,DIS,GNT,IJT,NOR,NOT,NRT,NTY,OTT,RRT,RVY
AABIN;ACT,CCH,CEM,CLO,COT,HIU,LOT,LTY
AABIR;BLT,ELV,ETU,LVY,TUY
AABIS;CDM,CIL,COP,DDK,GIL,JMY,PUX
AABIZ;CCH
AABJN;EOZ,LMO
AABJR;
AABKN;ADT,BCD,BEL,CDH,CDL,CLO,CLY,LOO,OTU
AABKR;DEH,EEG,EEW,LLP
AABKS;CCT,CEL,CFT,CLP,CLY,CPY,CTY,DDI,DEW,ELL,ELM,ILM,ILT,LOS,OOZ
AABLN;AGY,BEK,BEN,CDK,CIN,CIO,CKO,CKY,CTY,CUU,DFH,DGR,DMU,DMY,DPT,EEF,EGH,EGW,ENT,EPT,EPW,GIT,GMU,GOW,INU,IOR,IOT,IRT,IRU,ITY,JMO,KOO,MOR,MTU
AABLR;CDI,CII,CRY,DGN,DII,GUY,INT,INU,IRT,IVY
AABLS;AEG,AFL,AGI,ALW,APR,BBE,BEU,EFG,EHK,EHP,EHW,GII,HLW,IIZ
AABLT;BIR,CFK,CIK,CKK,CNY,DNP,DOO,FOT,GIN,IIJ,IMO,INO,INR,INY,IOT,IRR
AABMM;BOZ,EJL,EXY
AABMN;JLO,NOO
AABMO;BMZ,CCT,CGI,DDR,DNR,GRR,ILT,ITX,JLN,LLR,LNR,NNO
AABMP;AER,EER,ELP,HII,LLL
AABMR;AEP,DDO,DDU,EEP,GOR
AABMS;CDI,IJY
AABNS;BEG,CHR,CRR,EPR,NOZ
AABNU;ACR,CLU,DLM,DNT,ERT,GLM,HII,HOT,ILM,ILN,ILR,IMR,KOT,LMT,MRT
AABNW;DEV,EGL,ELP,GLO,MOT
AABNY;AGL,CEE,CKL,CLT,DRR,ELR,GIR,ILT
AABOR;HHU
AABRR;BEL,CLY,EKP
AABRS;BDG,DLW,GHN,HHU
AABRT;BIL,CKP,LLP
AABRV;CEM,DET,EIL,ILY
AABRY;ACP,BEL,CGK,CLR,ELN,GIN,GLL,GLU,ILV,LLO
AABRZ;
AABST;ACH,ACW,CCK,CFK,CKY,DOY
AABSU;BEL,BIR,EJM,ELM,GIM,HHR,IMR,IPX,ITZ,MRT,TTT
AABSY;CKP,CKT,CKW,DOT,IJM,ILT,IOS,OTT
AABTT;CEI,EGM,FLO,GOR,ILO,IOR
AACCE;APR,DNU,DRR,ENT,GOR,GRU,HIX,IRR,MNU,NRT,NTU,RTU
AACCO;CFI,DVY,EGR,FGO,HKZ,KRT
AACCS;ACH,ALM,HIV,HPT,IIT,IPT,ITT,KKP,LLT,LTW,NTU
AACCY;BMO,CRU,DOV,ELL,ELT,IPT,IRT,LMN
AACDE;AMN,BBG,BCT,BKT,EHH,EHS,EST,ETT,GKP,GKS,GSV,HHY,JNT,KNP,KNS,KTT,NOT
AACDH;BKN,DEI,DGL,EEH,EHY,EIN,ELN,ELP,ILL,INP,LNP,MOP,NOW
AACDU;IIR,IOT,ITY,JQR,MMR
