AAABC;37,43,48,55
AAABK;64,65
AAABR;55,64,75,77
AAABY;55,63,74,83,84
AAAFR;125,287
AAAGM;86,151,217,218,220,252,320
AAAKM;14,18,366,402
AAALP;229,292,303,375,378,379,405
AAANN;145,388
AAANS;26,146,236,256,261,307,308,311,322,324,343,439,440
AAANT;46,170,212,316,444,446
AAATT;117,363
AAAYY;
AABBD;455,457,458,473
AABBG;
AABBK;455,458,464,481
AABBS;456,490,497
AABBY;489,498
AABCC;37,503,509,511,513,514,516,517,518,519,520,522,523
AABCH;30,42,503,505,509,511,513,514,529,530,554,592,603,607
AABCI;45,46,48,462,467,503,509,510,511,516,524,525,531,532,534,536,562,593,611,613,617,618,620,621,623,624,626,628,631
AABCK;458,464,469,505,512,513,517,518,519,520,521,526,529,538,539,554,563,564,566,567,592,594,602,603,613,633,634,635,637,641,647
AABCL;518,519,520,527,532,533,538,539,546,548,554,563,565,568,570,574,581,592,593,594,595,600,607,610,613,614,617,618,619,633,634,635,649,650,653,655,657
AABCR;55,548,570,572,574,575,608,653,657
AABCS;460,462,467,469,531,535,545,567,596,623,627,628,631,632,640,641,644,647,665
AABDE;58,455,457,524,528,683,689,702,706,715,743
AABDH;529,530,670,671,683,684,703,704,705,755,768,769
AABDL;62,528,533,534,538,539,683,687,689,697,707,725,727,729,734,755,760,773,791,793,794,795,796
AABDN;65,458,528,529,538,715,743,755,762,768,791,803
AABEM;77,704,996
AABER;75,77,557,560,821,827,831,844,847,868,871,884,892,903,919,941
AABES;456,486,490,506,547,555,566,576,580,894,897,902,936,998,1007,1013
AABET;562
AABFT;859,1016,1018
AABGM;1043
AABHM;1050,1052
AABHS;88,897,901,904,905,1049,1071
AABIL;34,45,90,496,533,593,600,610,611,613,617,618,619,773,774,1031,1072,1090,1091,1092,1094,1097,1099,1103
AABIN;46,509,559,618,624,1051,1091,1094
AABIR;496,916,929,1103,1129
AABIS;535,611,627,677,1028,1077,1127
AABIZ;511
AABJN;935,1131
AABJR;
AABKN;65,458,481,529,538,635,636,1134,1138
AABKR;703,821,831,1133
AABKS;521,566,596,637,639,644,647,677,718,937,940,1078,1079,1135,1140
AABLN;84,481,485,538,617,618,635,636,655,656,755,760,788,789,791,819,867,874,965,969,970,1031,1040,1041,1089,1090,1091,1092,1093,1094,1131,1134,1155,1156
AABLR;533,610,657,760,773,1042,1092,1093,1099,1103
AABLS;73,79,82,98,102,456,490,852,894,897,902,1028,1064,1073
AABLT;496,595,613,633,655,791,793,1018,1031,1072,1086,1091,1092,1094,1097,1099
AABMM;501,932,996
AABMN;1131,1172
AABMO;501,522,597,680,800,1043,1086,1112,1131,1144,1155,1172
AABMP;77,844,960,1050,1143
AABMR;77,680,681,844,1043
AABMS;535,1077
AABNS;478,609,662,999,1182
AABNU;53,656,788,803,1002,1040,1051,1069,1085,1089,1093,1110,1138,1156,1176
AABNW;743,874,970,1041,1175
AABNY;84,549,636,655,806,971,1035,1094
AABOR;1048
AABRR;488,657,943
AABRS;474,797,1024,1049
AABRT;496,642,1149
AABRV;584,752,916,1103
