AAABC;DIIT,DRRU,IQTU
AAABK;CITT,CNNT,EPRR
AAABR;BINR,CDRU,DEGV,DOQU,EGUY,EINO,EKPR,EKWY
AAABY;AJLM,EGRU,ILLV,LLPT
AAAFR;DEFN,DEGM,FNNO,IILL
AAAGM;DEFR,EFNU,ENNT,ILLO,INOT,IRRT,NPTY
AAAKM;CCHT,CNTT
AAALP;AGRT,AILR,BDET,DORX,EGLR,EIKR,ENQU,GHLN,GIOR,HNOR,IILL
AAANN;CCEL,CILL,FFOR,ILPR
AAANS;DEFG,EOPR,EPRV,FIUV,HOPR,IRXY,OPRZ
AAANT;BDIN
AAATT;CCIL
AAAYY;
AABBD;AELR,CEIL,CKOR,DDYY,DNOR,EELT,EKNR,EKOR,ELOR,ELTY,ENOR,NORR
AABBG;BELR,BIKN,CGIN,EFFL,ELOR
AABBK;BGIN,CLLL,DENR,DEOR,EELR,EERT
AABBS;CILM,CINR,IMRR,MMOZ,ORRU
AABBY;DDDY,DELT,DGNR,HILT,IRRT
AABCC;AITT,CKKR,HKKU,HLOR,HNOW,ILOT,JKKL,KKRT,KRRY
AABCH;ACLN,BELL,CELO,CELT,CKKU,CNOW,DEEH,DILN,DNTW,EELL,EELR,EELT,EERW,EHLT,EITZ,ELNT,ELNY,ELOP,ELPT,ELRT,ELTW,ELTY
AABCI;ADIT,AQTU,ASST,BDEL,BGGN,CCCE,CKKP,CLOT,DHLN,EFLN,EHTZ,ELLN,ELNP,ELNT,GLLN,ILLT,LLSY,LNPY,LPSU
AABCK;AITT,BLLL,CEFL,CEPS,CHKU,CJKL,DELL,DLMP,ILLM,LLMP,LLST,MPST
AABCL;BDEI,BEHL,BKLL,CHOR,CIOT,CJKK,DDEF,DEEY,DHIN,DKMP,DLOR,DOPR,EEHL,EELV,EGIR,EGMR,EMMR,GILN,IILT,KLMP,KLRT,RTTY
AABCR;ADRU,DENO,DLLO,DLOP,DNOO,EEHW,LMUU,LOUV,LTTY
AABCS;BDKN,DEIN,DEIT,DENP,EENY,GIMO,INOT
AABDE;AGLY,BCIL,CEHH,CELY,CHKL,CKLP,CKLY,CNNO,EKLN,ENNO,ILOV
AABDH;CEEH,CEKL,DEOR,DORR,EJLL,LMOR
AABDL;ABER,AEGY,BCEI,CEEY,CEHK,CEKP,CEKY,EEKN,EIOV,IORT,IOVY
AABDN;CNUY,EEKL,ELLT
AABEM;
AABER;BCGI,CEHW,EKOR,IKNR,INRV,INVW
AABES;AANN,CCHK,CCKP,CENY,EKLP,INOZ,JNOZ,LOPP,LPPW
AABET;BCOO
AABFT;CEIR,CINR,DELR,EENS,EGIL,EKRS,ELLO,ELOS,IMOR,INRR,LORU
AABGM;
AABHM;
AABHS;AEGL,EGGL,EJLL,NOTU
AABIL;ACNT,BHTY,CCOT,CNPY,DORT,DOVY,DSVY,GNPR,GNVY,INRR,IRTY,ORRV
AABIN;CKLT,CLPY,HIMP
AABIR;EITV,EJKL,ILTY,TTTU
AABIS;DLVY
AABIZ;CEHT
AABJN;BBEO,DIOR,IOTW
AABJR;CEKM,DINO,EIKL
AABKN;BBGI,CELP,CILT,DEEL,ELMU
AABKR;BDEO,BEEL,BEET,DELO,DEOW,DLOW,EEOR,EGLO,EIJL,ELLW,MOOZ
AABKS;CCEP,CCKP,CCLL,CDLO,CFLL,CKLT,CLLT,EELP
AABLN;AACM,ACCH,ACIT,ACOT,CHIR,CIKT,CIPY,DEEK,DEFU,DETU,EENX,EETU,EFUZ,EPUY,ETUX,GIPR,GIVY,IIRR
AABLR;CIUV,GINP,IINR
AABLS;AGOR,EEGZ,EEKP,EGGH,EOPP,EPPW,KLPR
AABLT;CCIO,KNOO
AABMM;AALT,CELR,EELT,EFLL,ELNR
AABMN;HIIP
AABMO;ACLR,CIPR,DHLR,FIRT,ILPR,KORZ
AABMP;CDKL,CEIL,CIOR,CKLL,CKRR,ILOR,ILOY
AABMR;BCKR,CKPR,DEOT,KOOZ
AABMS;ACCW
AABNS;GGGN
AABNU;AAGN,CDNY,CELM,CELN,CELP,CELT,CGOW,DILQ,EELT,EFLZ,EKLM,ELMN,ELPY,ELTX,GINT,GRRW,INRT
AABNW;CGOU,DGNO,GRRU
AABNY;BDGR,CEHL,CERR,CILP,CIRR,ELPU,GILV
AABOR;CIMP,CIQU
AABRR;EELP,EELV,EEMP,ELPY,GNUW
AABRS;
AABRT;CCKK,CKLL,ITTU
AABRV;ADEG,CENT,CILU,CLOU,EELR,EELT,EFLO,EIIT,EINR,EINW,ELOP,FLOY,HIPR,IINT,ILOR
AABRY;AEGU,CCKR,CENR,CHIK,CILL,CINR,EEGL,EELP,ELPR,FLOV
AABRZ;
AABST;
AABSU;AAFQ,AGRT,ELLV
AABSY;DILV,EMMX,LOTU
AABTT;CLRY,EEMN,GINR,IINR
AACCE;AHIM,CHIM,DEJN,DJNY,EHIN,FGOU,FIIP,HJKP,HMPY,HMRU,HRRT,NPTT,ORTT
AACCO;BHNW,CHIP,DNRT,EFGU,INPT,IOPT
