AAAARR;MPTT
AAAATT;EHMN,ILNR
AAABCL;DENR,EIRT,ELLR,HINR
AAABCN;
AAABCS;DIIT,DRRU,EMRT,IQTU
AAABDG;EELM
AAABDH;ELRZ
AAABDJ;
AAABIS;AKLL,BCLT,BNRR,CDIT,CQTU,DGNT,DNNT,ELMN,LLNO,LLRY
AAABKK;
AAABKL;CETT
AAABKS;CCNV,CNNT
AAABKY;AGOR
AAABLQ;
AAABLR;CDEN,CEIT,CELL,CETU,CHIN,DEHZ,ENRT,IIRT,ILSY
AAABLT;CEIR,DEIN,EHNP,ENRR,IIRR
AAABNN;
AAABNS;BIRR,DGIT,EILM,EIPT,ELLY,ILLO,IMPT,IPTT,JLMO,MRTU
AAABRS;BINR,CDRU,CESU,DEGV,DMOS,DOQU,EGUY,ILLY
AAABRT;AEMP,CEIL,CELU,CORU,ELNR,HKMU,IILR,MORU
AAABRZ;DEHL
AAABSY;AJLM,EGRU,ELLN,ILLR
AAABTT;
AAACCI;CORT,DELM,EPTT,LLNT,MORT,RRTU
AAACDG;GHIL,IILR
AAACDN;EHLV,FIIO
AAACJN;
AAACLP;EGHR,GGIO
AAACMR;ADMT,COPR,FNOU,NNTT
AAACNR;EEPP
AAACPT;CEIT,CHRT,CIRT
AAACSV;BCKN,CDEL,CELN,EHLN
AAADGG;ELNR,ELRV,ERTV
AAADHM;
AAADMR;ACMT,BNRU,CELN,CILT,CINU,EFQU,EINZ,GNOR
AAADNN;AEMT,CERV,CHIR,DEIM,EIMT
AAADNP;EHLR,ELQU,IILR,ILOR,IOTT
AAAEGP;AELO,CHLR,HIOR,ILPR,SSWY
AAAEKT;BCLT,MORT
AAAELZ;BDHR,BLNY,ILPT
AAAFRS;DEGM,IILL
AAAGIP;CGLO,ELPR,ENRS,IMNR
AAAGLR;CDII,CEHP,DEGN,DIIL,DILN,DLNO,EIMN,EIPP,IIMN,IMRV
AAAGMS;ASSU,DEFR,IRRT
AAAGNN;CEER,CIRV,FIUU,GIKR,GRTU,ILMO
AAAHIT;GLRR,GOPU,MNNO,PRRR
AAAHKR;BMTU
AAAHLL;
AAAHLW;
AAAHMR;BKTU,EOTT,IIJY
AAAHNV;
AAAILL;CCNT,CGMY,CGNO,CGNV,CMNU,CMNY,CNTY,DGIR,DGNR,DKLO,GGNO,INTT,MNNZ,NOTV,ORTV
AAAILR;DGLN,DOPP,EGPP,HIPP
AAAIMN;GHOP,GLNO,LLNZ
AAAITW;IRRY
AAAITX;GLMN,LMNO,LNOT
AAAJKT;
AAAJMP;
AAAJMT;
AAAJMU;
AAAKKN;
AAAKKR;CCCJ
AAAKLM;
AAAKLS;ACHK,CDIY,EIPR
AAAKMR;BHTU,EOTT
AAAKMS;CCHT
AAAKNT;
AAAKPT;
AAALMP;NORR
AAALMS;ABJY,BEIN,BELZ,CHOT,IMMN
AAALPP;BEEL,DIOR,EGIR,EINR,HIIR
AAALPS;DDEY,EGLR,ELRX,ENQU,ERUX,GORS
AAAMNN;DDEI,GILO,ILLZ
AAAMNP;GHIO
AAAMNR;ALSZ,BDRU,CDEL,CDIU,CFOU,CLPU,CLVY,DEIZ,DELS,EIQU,ELSS
AAAMNS;ALRZ,BJLO,CCDH,EEHR
AAAMNT;AELM,ELMO,HOTX
AAAMNW;ILRY
AAAMRS;ANPY
AAAMRT;ACDM,CDIL,CGIL,ITTV
AAAMTT;AEHN,CNNR,DINO,EHMO,EHOP,EHOR,EKOR,ELNR,EORT,HNOX,IRTV,NNOR
AAANNS;EITU,FFOR,IIRT,ILPR
AAANNZ;IIJR,ILLM
AAANRT;BELR,HPPY
AAANRU;BDMR,DLQT,ELPQ
AAANSS;CEER,CEIR,CILR,CIRU,CORU,DLNY,GGII,HKRT,LNOT
AAANST;BDIN
AAANTT;AEHM,BEIL,DIMO,DIOP,EIIL,EILP,HMOX,IILL,ILOX
AAAPPY;
AAAPTZ;BEIN,EILL
AAARST;AGHY,CCEH,GHIY
AAARTV;CLUU,EGMR,ILLO,IMTT
AAASTT;
AAASYY;
AABBBO;
AABBCO;AIJT
AABBCU;
AABBCY;NORS
AABBDS;DNOR,EIRR,EIST,EITZ,NORR
AABBGS;EFFL
AABBHL;EERT
AABBKS;CLLL,DENR,DEOR,EELR,EERT,ELLT
AABBLL;EERT,INTU,MTTU
AABBLO;EIMN,IMNY
AABBLR;CEIS,CIIN,DEGI,GGIN
AABBST;CEOO,EEKR,EKLL
AABBSY;CNOR
AABCCE;DKKP
AABCCS;AKNV,BIRR,CCEI,CKKR,HLOR,HNOW,IILT,IORT,JKKL,KRRY
AABCEO;BLMT,DDKL,GLLU,HLUV,ILMT,ILNT,ILTT,ILTZ,LNTU
AABCHM;EILN,ELNR,HIPR
AABCHS;CLOR,CNOW,DILN,DNTW,EIRT,EITZ,EPTY,EQRU,ERXY,HPTY,IRXY
AABCIM;EERT,HHPR,OORT,ORST
AABCIR;BELS,BJKT,ELQU,IOPT,LMTU,LPSU,LSTU,MOOT,MOST
AABCKR;DGLU,LMOO
AABCLS;BKLL,CHOR,CJKK,DLOR,DOPR,EIOS,GILU,INUV
AABCLU;CELL,CIIO,CLLY,DDEE,DEET,DGKR,EGLO,EHOV,EIQR,FNOR,GILS,HRRY,IIKO,IILR,INSV
AABCMN;EGLN,EHLR,GKMO
AABCMT;ACLU,BELO,EILO,ELUU,ILRU,IOOR,LOOO
AABCRS;ADRU,BCIR,CHLO,DEMU,DLLO,DLOP,DNOO,EHQU,EHXY,HIXY,IOQU
AABCSU;ADRR,AIQT,CHKK,DENN,EHQR,ERRT,GILL,IOQR
AABCUU;ELMT,ERRT
AABDER;AHLZ,BCEK,BOOV,CEKN
AABDES;CCKP,CDKL,CKLP,CNNO,ENNO
AABDET;BISS,BISZ,FINR,GGNO,HITU,HKNS,INRZ,IQRU,IRSS,IRSZ
AABDEU;CDEL,CELT,CHKL,CRRT,HITT,IQRT
AABDGO;EGNT,INNN
AABDHI;CERT,ETTU
AABDHS;CILN
AABDIN;
AABDIR;LLOY,LOOP
AABDIT;BESS,BESZ,EGRR,EHTU,EQRU,ERRT,ERSS,ERSZ,MRSS
AABDLL;DIMO
AABDLM;CEOR,DEHO,DILO,EITT
AABDLS;CDEK,CEHK,CEKP,EJTU,FHOR,JTUY
AABDMN;
AABDNR;
AABDNS;
AABDOR;BDER,CHKL,CHMT,CHPT,EEKR,EPPR
AABDRR;AMNU,IMNU
AABDRT;CEFI,CEHI,CHMO,CHOP,CNNO,EFIN,EINZ,EIQU
AABDRY;CDOR
AABDSS;AILL,AMOR,BELT,BNOT,CEMU,CILM,CIOR,CMOU,DHOR,EHQU,HORW,ILLT,ILOR,LOOW
AABEEM;ADGL,CELR,CERR,CILR,CIRT
AABEFN;DIRT,ILLM,ILLT,IRRT,ORRT
AABEGM;AELN,CLNN,IILN
AABEGS;ADRV,GINO,IILL
AABEGT;CINR,DGNO,GINN,GRRY,INNO,INNP,INNR
AABEIK;
AABEIL;CEHV,CFIP,CQRU,DLYZ,EFRR,ELRZ,EPRR,FFIL,LRYZ,OPRZ,QRRU
AABEKT;CPRR,EHRR,ERRW,INNR
AABELM;ADEG,CEER,DDHO
AABELR;ADHZ,CIQU,EFIR,EKMR,IQRU,KMRY
AABELT;
AABELZ;ADHR,ALMS,ALNY,CIOT,CIPS,DILY,EILR,ELLS,HRSZ,ILRY,IOPR,IRTU
AABEMN;
AABEMO;BCLT,CILT,DDHL,DDHR
AABEMS;RTTU
AABEMT;AAPR,RSTU
AABERS;
AABERT;AAMP,GGRY
