AAAARR;0
AAAATT;
AAABCL;48,51
AAABCN;36
AAABCS;37
AAABDG;65
AAABDH;
AAABDJ;
AAABIS;4,37,66,68,84,88,106
AAABKK;
AAABKL;85
AAABKS;
AAABKY;
AAABLQ;
AAABLR;39,48,56,58,78,115
AAABLT;54,95,115
AAABNN;95
AAABNS;4,68,81,83,88,106,114
AAABRS;55
AAABRT;39,56,86,107,115
AAABRZ;107
AAABSY;64
AAABTT;94,95
AAACCI;5,118,125,128,129,132,155
AAACDG;128
AAACDN;128
AAACJN;234
AAACLP;203,221
AAACMR;
AAACNR;234
AAACPT;52,220,255
AAACSV;158
AAADGG;65,333,334
AAADHM;
AAADMR;46,169,171,174,308,322,338,350
AAADNN;303,328,333
AAADNP;67,70,72,328
AAAEGP;203,307,375,385,390
AAAEKT;411,427
AAAELZ;85
AAAFRS;
AAAGIP;9,459,463
AAAGLR;22,48,78,335,442,467
AAAGMS;248,388
AAAGNN;2,205,238,333,447,449,463
AAAHIT;24,129,144,145,146,170,183,209,251,255,259,260,392,394,451,471,478
AAAHKR;255
AAAHLL;143,148,203,208,264
AAAHLW;148
AAAHMR;
AAAHNV;238
AAAILL;51,60,85,119,138,143,154,203,208,274,277,278,349
AAAILR;48,283,442
AAAIMN;232,291,439,449
AAAITW;24
AAAITX;251,269
AAAJKT;
AAAJMP;354
AAAJMT;
AAAJMU;354
AAAKKN;
AAAKKR;
AAAKLM;427
AAAKLS;364,428
AAAKMR;
AAAKMS;105
AAAKNT;2,427,451
AAAKPT;255
AAALMP;335
AAALMS;18,417,429,495,503
AAALPP;71,74,402,435,497,502
AAALPS;15,312,357,364,403,428,429,517
AAAMNN;232,291,354,404,449
AAAMNP;354,404,416
AAAMNR;46,232,234,291,313,354
AAAMNS;18,75,235
AAAMNT;130,222,427
AAAMNW;226,313
AAAMRS;
AAAMRT;
AAAMTT;362
AAANNS;133,483
AAANNZ;478,507
AAANRT;24,107,115,478,488,490,505
AAANRU;354
AAANSS;40,491
AAANST;499
AAANTT;362,451,458
AAAPPY;74
AAAPTZ;
AAARST;160,492
AAARTV;199,359,389,443,450,488
AAASTT;366,501
AAASYY;
AABBBO;
AABBCO;531,532
AABBCU;
AABBCY;
AABBDS;520,536,541
AABBGS;569,571,573,574
AABBHL;560
AABBKS;
AABBLL;550
AABBLO;577
AABBLR;
AABBST;4,549,563,574,579,581
AABBSY;536,582
AABCCE;
AABCCS;610,613,614,615,620
AABCEO;530,604,605,629,643,669,708,746,748,801,849
AABCHM;647,648,711
AABCHS;688,689,763,778,882,883,885
AABCIM;52,868
AABCIR;724,815
AABCKR;
AABCLS;924,928
AABCLU;621,713,722,761,872,903,906
