AAAARR;BMOTTU,DEPQTU,EIMMNT
AAAATT;BMORRU,CCHINR,CCILPR,DILNOP
AAABCL;EEGIRR,EMMNNU
AAABCN;ELMMNU
AAABCS;AABDRR
AAABDG;EILMMR
AAABDH;
AAABDJ;
AAABIS;BLMORT,CCILLT,CEILLM,CHKLNT,DELMRT,EHNRRT,ILNNOT
AAABKK;
AAABKL;
AAABKS;
AAABKY;
AAABLQ;
AAABLR;ACCENU,BCILRY,CEEGIR,CIIRUV,CINOUV,DEGIMM,DEIMTZ,EEGIMR,ELNSSW
AAABLT;ENOOPY,IINNOZ
AAABNN;ACCHIL,CELMMU,EEGLMU,EGLMUY,EIILMT,EILTTU,ELLUYZ,GIIPTZ,IILOTZ,ILOOTT,ILTTUY
AAABNS;DEGGOV,EEILPP,EELPPU,ELLRTT,ELPPUY,HIOOPT
AAABRS;AABCDR,DEMSSS,ELLNSW,GHIOOP,GHPPRU
AAABRT;DEILMZ
AAABRZ;DEILMT
AAABSY;CDDIRR,ELNPPU,ILLNSU
AAABTT;AMORRU
AAACCI;ACCRTU,BDDRRY,BELLMT,CCERTU,DINRRT,EEMRRT,ELQTUU,ENNQTU,GHLMOZ,GINPTT,HLNPTY,INNPTT,INOPTT,LNNNOV
AAACDG;EILMOR,IIMMNZ,IIMMRT,IIMPRT
AAACDN;GIIMMZ,IOOPTT
AAACJN;
AAACLP;BEHOPR,DMMNOY,GHILNY
AAACMR;EHNPTY,HNNOPP
AAACNR;
AAACPT;DGIIMR,EHIRRT
AAACSV;
AAADGG;
AAADHM;GINOOT,IILNOT
AAADMR;BEILTZ,CEGILO
AAADNN;IIOPTT
AAADNP;CLMMOY,DIIORX
AAAEGP;DILQRU,HLOPRY,RRSSSS
AAAEKT;
AAAELZ;BDIMRT,COTTUY
AAAFRS;
AAAGIP;DELQRU
AAAGLR;AEGNPU,BCEEIR,BDEIMM,BEEIMR,CDEIMO,DEIPQU,DNQRUU,EHOPPY
AAAGMS;DEIRUV,EMORTT,HIIPRT
AAAGNN;AIRRTT,BEELMU,BELMUY,BIIPTZ,CEOPRY,EINNOR,IIILTT,IILOTV,IIOPTZ,ILNPRT
AAAHIT;ACCNRT,BCELLP,BCELNP,BILNOT,CCCPRT,CDINNR,CELMMT,CEPRRT,CLLLMY,DGMNOO,DILMNO,EEMNTZ,EGMMNO,ELNNRT,ILLNNO
AAAHKR;
AAAHLL;BCEIPT,CILMTY,CPRTYY,IINNOT
AAAHLW;
AAAHMR;CEIOPP,CNNOPP,EOPRTY
AAAHNV;
AAAILL;BBCRRY,BCCEMT,BEMNOT,CCDEMY,CCELNR,CDRRTU,CGGOPY,CGHNPY,CHLMTY,CNOPRY,HINNOT
AAAILR;BBCLRY,BCEEGR,BDLOOP
AAAIMN;
AAAITW;
AAAITX;CELNOV,ELMRRT,ELNNNO,EMOOTU
AAAJKT;
AAAJMP;
AAAJMT;IINORR
AAAJMU;
