AAAARR;8,24,33
AAAATT;8,10,12,26
AAABCL;60,69
AAABCN;69
AAABCS;1
AAABDG;77
AAABDH;
AAABDJ;
AAABIS;50,54,66,71,78,95,121
AAABKK;
AAABKL;
AAABKS;
AAABKY;
AAABLQ;
AAABLR;5,47,60,72,74,77,79,85,105
AAABLT;107,122
AAABNN;6,69,86,93,97,100,103,114,122,126,127
AAABNS;76,90,92,106,108,117
AAABRS;1,81,105,111,112
AAABRT;79
AAABRZ;79
AAABSY;55,108,125
AAABTT;8
AAACCI;9,52,53,130,144,145,157,158,162,163,166,170,171,173
AAACDG;180,190,191,192
AAACDN;190,199
AAACJN;
AAACLP;65,200,263
AAACMR;236,289
AAACNR;
AAACPT;192,234
AAACSV;
AAADGG;
AAADHM;336,340
AAADMR;79,180
AAADNN;344
AAADNP;200,316
AAAEGP;323,367,380
AAAEKT;
AAAELZ;79,253
AAAFRS;
AAAGIP;323
AAAGLR;27,60,77,85,180,323,339,367
AAAGMS;324,379,423
AAAGNN;38,86,93,114,224,377,431,434,438,441
AAAHIT;10,63,64,115,135,193,229,234,278,336,340,357,366,382,447
AAAHKR;
AAAHLL;63,278,287,447
AAAHLW;
AAAHMR;231,289,390
AAAHNV;
AAAILL;47,53,98,140,152,197,262,263,278,298,447
AAAILR;47,60,84
AAAIMN;
AAAITW;
AAAITX;242,400,401,405
AAAJKT;
AAAJMP;
AAAJMT;455
AAAJMU;
AAAKKN;
AAAKKR;
AAAKLM;
AAAKLS;168
AAAKMR;
AAAKMS;
AAAKNT;
AAAKPT;
AAALMP;200,458,472
AAALMS;
AAALPP;65,104,207,367
AAALPS;45,410,487
AAAMNN;69,86,93,289,299
AAAMNP;353
AAAMNR;7,80
AAAMNS;
AAAMNT;348,353
AAAMNW;
AAAMRS;
AAAMRT;
AAAMTT;357,362,400
AAANNS;411,482
AAANNZ;103,114,122,292,438
AAANRT;393
AAANRU;
AAANSS;159,211,439
AAANST;117,446,483
AAANTT;115,357
AAAPPY;367
AAAPTZ;114,433,438,478
AAARST;361
AAARTV;30,205,225
AAASTT;429
AAASYY;
AABBBO;
AABBCO;
AABBCU;498
AABBCY;47,509
