AAAARR;EIILMNNPT
AAAATT;CCCILLLLY,CCHHILLMW
AAABCL;
AAABCN;
AAABCS;
AAABDG;
AAABDH;CEIIMORTT
AAABDJ;
AAABIS;CCLMNNOOY,EIILLNTYZ
AAABKK;
AAABKL;
AAABKS;
AAABKY;
AAABLQ;
AAABLR;INNSSTTTU
AAABLT;CHIIOPPRY
AAABNN;IIIILMTTY,IIILLOTVY
AAABNS;EIIIILTTT,IILLRTTTY
AAABRS;
AAABRT;
AAABRZ;
AAABSY;CCILMNNOO
AAABTT;
AAACCI;
AAACDG;EEGGMORRT,EIILLMNTY,IIINORTTV
AAACDN;CILMMOOOT
AAACJN;
AAACLP;
AAACMR;EHHOPPRTY
AAACNR;
AAACPT;
AAACSV;
AAADGG;CEEGMORRT
AAADHM;
AAADMR;
AAADNN;GIIILOOTZ,IIILORTTT
AAADNP;CCHIMMORY
AAAEGP;HLLOOOPTY
AAAEKT;
AAAELZ;BHIINOPTT,IIIMNORTT,IIINORRTT,IIINORTTT
AAAFRS;
AAAGIP;
AAAGLR;
AAAGMS;CEEGGORRT
AAAGNN;DIIILOOTZ,EIINQQRUU
AAAHIT;ACCHLLMTW,EEGGLMNTU,EIMMNOTTZ
AAAHKR;
AAAHLL;ACGIPPRRY,CCGIMOOPR,EEEFGLMOT
AAAHLW;ACCHILMTT
AAAHMR;
AAAHNV;
AAAILL;ACCHHMTTW,CCCGHHOPR,CDINOOORT
AAAILR;DEEELLPPP
AAAIMN;
AAAITW;ACCHHLLMT
AAAITX;
AAAJKT;
AAAJMP;
AAAJMT;
AAAJMU;
AAAKKN;
AAAKKR;
AAAKLM;
AAAKLS;
AAAKMR;
AAAKMS;
AAAKNT;
AAAKPT;
AAALMP;CCGHILOOR
AAALMS;
AAALPP;DEEEILLPR,EGHLOOOTY
AAALPS;
AAAMNN;
AAAMNP;
AAAMNR;
AAAMNS;
AAAMNT;
AAAMNW;
AAAMRS;
AAAMRT;
AAAMTT;ACCHHILLW,CCCIIILLN,CHHHIRRYY
AAANNS;
