AAAARR;CC,CJ,JK,PP
AAAATT;MM
AAABCL;AZ,HU,IP
AAABCN;IT
AAABCS;CR,HT,IR,OR,TW
AAABDG;
AAABDH;EH,HI,HL,IY
AAABDJ;
AAABIS;CR,GL,TV
AAABKK;
AAABKL;
AAABKS;
AAABKY;
AAABLQ;
AAABLR;GO
AAABLT;BE,BI,IT
AAABNN;AE
AAABNS;DR,ES,IS
AAABRS;CC,CI,CN,CO,DF,DN,LP,NN,OR
AAABRT;CC,DN,EH,GU
AAABRZ;
AAABSY;
AAABTT;CI,IL
AAACCI;LR,MM
AAACDG;
AAACDN;EM,ER,IR,MY,NO
AAACJN;
AAACLP;BI,IR
AAACMR;GN,KT
AAACNR;AG,DE,EH,GH,GM,HL
AAACPT;
AAACSV;BL,LL,NR
AAADGG;
AAADHM;
AAADMR;GT,OT
AAADNN;CO
AAADNP;EG,EM
AAAEGP;
AAAEKT;KR,WY
AAAELZ;CH
AAAFRS;BD,DY,HT,IT,WY
AAAGIP;
AAAGLR;BO,ET,IT,RW
AAAGMS;JU,LM,LT
AAAGNN;HT
AAAHIT;MR,PY
AAAHKR;
AAAHLL;CZ
AAAHLW;
AAAHMR;AJ,IN,IT,NT
AAAHNV;
AAAILL;BG,DP,MR,PT
AAAILR;CC,CD,CP,CV,DI,DU,NP,NU,PV,PX,QU
AAAIMN;AK,CL,HR,IP,LR,RR
AAAITW;
AAAITX;AR,CR
AAAJKT;
AAAJMP;DE
AAAJMT;
AAAJMU;
AAAKKN;AT
AAAKKR;ET
AAAKLM;AT,CN,DN
AAAKLS;HH,IT
AAAKMR;CT,NS,SS
AAAKMS;HN,MU,NR,RS
AAAKNT;AK,BD
AAAKPT;
AAALMP;
AAALMS;BD,BO,BT,CC,CI,CN,DE,DN,DW,GM,GN,GT,IV,PT
AAALPP;
AAALPS;BR,LT,MT,NT,RT
AAAMNN;
AAAMNP;DE,II,OR
AAAMNR;HI,IL,IR,KS,OP,RY
AAAMNS;CL,DL,HK,KR
AAAMNT;EH
AAAMNW;
AAAMRS;GN,IU,KN,MP,RZ
AAAMRT;CK,DG,HI,ZZ
AAAMTT;AM,DE,NY,OU,PR,RU
AAANNS;CR,ES,HL,LT,TT
AAANNZ;
AAANRT;LP,PV
AAANRU;AH,IL,IQ
AAANSS;AV,BE,BI,CT,DH,DR,EN,ET,FR,GH,GL,GT,IP,NV,PP,QU
AAANST;FI,HY,LN,LP
AAANTT;MY
AAAPPY;
AAAPTZ;
AAARST;CL,DI,EG,EP,FH,FI,GL,HP,HW,IL,IP,LP,PP,TT,TU
AAARTV;EL,NP
AAASTT;HH,HT,PU,RT,RU
AAASYY;DW,LW,TW
AABBBO;
AABBCO;
AABBCU;
AABBCY;
AABBDS;CR,EN,GR
AABBGS;CE,DR,EN,RT
AABBHL;AC,AK
AABBKS;AL,CR,CT,HU
AABBLL;EI,EM,EN,II,MY
AABBLO;ET
AABBLR;EE,ER,EY,IT
AABBST;CI,CK,GR
AABBSY;
AABCCE;HK
AABCCS;AL,AR,EL,HH,HI,HK,KT
AABCEO;GT,LR
AABCHM;AU,ES,RY
AABCHS;AL,AT,CH,CI,CK,EE,EL,EM,HR,KL,KO,KR,KW,NR
AABCIM;CR,EN,GO
AABCIR;BR,ET,IL,LL,LO,RT,SS
AABCKR;DH,DN,DW,DY,GY,PT,PW
AABCLS;CE,DN,EH,EK,EL,EN,EP,ER,ET,EU,HK,II,IM,IT,KP,MU,RU
AABCLU;AH,DI,ES,HK,NU,RS
AABCMN;EI
AABCMT;CO,ER
AABCRS;AC,AI,AN,AO,BD,BO,DI,EE,EF,EL,EO,ER,ET,HH,HN,IN,LU,NR,OR,OT,TT
AABCSU;EL,ES,IN,LR,TT
AABCUU;LN
AABDER;BT,EH,EL,ET,GL,GN,HK,HM,HN,KP,LN,LO,LP,LT,OT,OX,TT,TV
AABDES;AT,BN,DS,GN,KW,LL,LN,LO,LW,LY,SS
AABDET;AS,BR,CC,CI,CK,DE,DR,ER,MN,NU,OR,RR,RT,RV
AABDEU;IO,LL
AABDGO;NV,RR,RT,TU
AABDHI;AH,AY,EH,NR
AABDHS;GN,NT,NY
AABDIN;CE,EG,GN,MO
AABDIR;IL,OR
AABDIT;CE,EL
AABDLL;CI,HN,HR,IN,RY,UY
AABDLM;EN,NU,NY,RU
AABDLS;EO,ER,EW,EY,II,RW
AABDMN;IO,LU,LY
AABDNR;AT,CK,CR,DE,EG,EH,EL,GL,RY
AABDNS;AN,BE,CT,EM,EU,HT,HY,KN,MN,NO,PS
AABDOR;DM,EL,ET,GR,GT,IR,LP,LR,LY,TY,WY
AABDRR;CN,GO,IO,LO,NY
AABDRT;AN,BE,DE,EE,EL,EO,ER,ET,EV,GO,OY
AABDRY;CK,LL,LO,NR,OT,OW
AABDSS;DE,DN,EI,ES,GN,LN,NP,NR,NW,RR,RT,RU
AABEEM;HR,KL,KT,LT,PR,RS
AABEFN;EL
AABEGM;LL,NY,TT
AABEGS;AL,BC,BN,DN,FL,GG,GR,LR,OZ,RR
AABEGT;CO,EL,EN,IL,LR,MR,MT,OR
AABEIK;
