AAAABCLZ;2
AAAABENN;3
AAAABFQU;4
AAAABKPS;8
AAAACCRR;11,12
AAAACGNR;18
AAAACJRR;23
AAAACLMT;24
AAAACNRS;18,27
AAAADMTV;29
AAAADNPS;
AAAADTVV;30
AAAAHJMR;32,33
AAAAHNRU;36
AAAAIKMN;39
AAAAIMPR;42
AAAAIRTX;44
AAAAJKRR;45
AAAAKKMT;46
AAAAKKNT;47
AAAAKKVV;48
AAAAKKWW;49
AAAAKLMT;50
AAAALLVV;51
AAAALSTY;
AAAAMMTT;52
AAAANRSW;
AAAANSSV;37,56
AAAAPPRR;57
AAAARRSS;58
AAABBCHL;59
AAABBCLS;59
AAABBELT;
AAABBHKL;61
AAABBILT;
AAABBKLS;61
AAABCCLS;
AAABCCMW;67
AAABCCRS;68
AAABCCRT;68
AAABCHIR;78,79
AAABCHLS;59,80
AAABCHLU;80
AAABCHMU;81
AAABCHST;
AAABCILP;
AAABCINT;85
AAABCIRS;71,78
AAABCITT;66,84,88
AAABCLOS;
AAABCLSV;
AAABCNRR;93,94
AAABCNRS;76,94,95
AAABCNRU;83,95
AAABCORS;
AAABCPRY;96
AAABCSSS;
AAABCSTW;
AAABDEHH;98,101
AAABDEST;97,105
AAABDFRS;
AAABDHHI;106,107
AAABDHHL;108
AAABDHIY;107,109
AAABDIKR;110
AAABDKNT;113
AAABDLMS;
AAABDNNN;114
AAABDNNS;114
AAABDNRS;104,115,116
AAABDNRT;116
AAABEGHL;119,120
AAABEGLL;119,121
AAABEGLS;120,121,122
AAABEGLY;99,122
AAABEHNR;125
AAABEHRT;126
AAABEMPR;
AAABENSS;
AAABFLLS;
AAABGHIL;142,143,144
AAABGILL;142,145,146
AAABGILS;143,145,147
AAABGILY;144,146,147
AAABGLNY;149
AAABGLOR;150,151
AAABGMNQ;152
AAABGRTU;153
AAABHLQS;
AAABHMST;156
AAABILTT;160
AAABINSS;
AAABIPSS;162,163
AAABISTV;
AAABKLSV;
AAABKLSW;
AAABKPSS;8,165
AAABKRSS;
AAABLLSW;
AAABLMOS;
AAABLMST;
AAABLOPR;136,167
AAABLPRS;167,168
AAABMSST;156
AAABNNRS;
AAABORRS;
AAACCCHS;
AAACCELN;177,178,179
AAACCEPR;172,182
AAACCHMP;186
AAACCHMS;186
AAACCILR;174,184
AAACCIMM;190
AAACCLMS;193
AAACCLPS;
AAACCLRS;
AAACCRSS;
AAACCRTT;191,194
AAACDDRT;197
AAACDEIM;200
AAACDELM;202
AAACDEMN;203
AAACDENR;201,205,206
AAACDEQU;207
AAACDETU;
AAACDFIR;
AAACDILR;174,211
AAACDINR;201,210,211,212
AAACDIRS;212
AAACDKLY;15
AAACDMMS;
AAACDMNY;
AAACDNNO;215
AAACDNRS;205,209,212,216
AAACDOTV;217
AAACEGNT;
AAACEGTU;220
AAACEHIN;
AAACEHLR;
AAACEHLT;223
AAACEHLZ;
AAACEHNR;224
AAACEHNT;
AAACELNT;
AAACELST;223,232
AAACENNP;
AAACENPS;
AAACGHNR;238
AAACGHRU;239
AAACGINT;240,243
AAACGLSW;244,245
AAACGMNP;246
AAACGMNR;247
AAACHHLS;
AAACHILZ;
AAACHIPS;253,255
AAACHLLZ;
AAACHLNR;249,258
AAACHLSZ;
AAACHNST;262
AAACHRSY;
AAACILMN;269
AAACILMR;266,270
AAACILMS;269,270
AAACILOS;276
AAACILPR;
AAACILRV;225,268,274,278
AAACILSY;280
AAACIMRS;270
AAACINPS;253
AAACINTV;286
AAACIPSU;287
AAACIRRS;277
AAACIRSS;231,265
AAACIRTX;288
AAACJMRS;
AAACKLMN;289
AAACKMRT;291
AAACLLSV;
AAACLMNS;269,289
AAACLMRS;270
AAACLMRY;
AAACLNST;275
AAACLPST;293
AAACLRST;214
AAACLRSZ;
AAACMNPS;246
AAACMOST;296,297
AAACMRSS;298
AAACMRSU;
AAACNNRS;
AAACNOPT;300
AAACNPST;300
AAACNRST;262
AAACNRSU;95,284
AAACNRSV;
AAACNSST;
AAACNSTT;285
AAACRRWY;301
AAACRSWY;301
AAACSSST;
AAACSSSV;
AAACSSTT;
AAACSTWY;302
AAADEFGN;308
AAADEFWY;310
AAADEGNP;314
AAADEIMZ;
AAADEJMP;
AAADELMS;202
AAADEMNP;321
AAADEMTT;322
AAADENTV;315,317,323
AAADEPRT;325
AAADFRSY;
AAADGGHH;327
AAADGGHS;327
AAADGIMM;
AAADGLMY;313
AAADGLNS;328
AAADGMRT;331
AAADHHHS;333
AAADHHLV;334
AAADHHSS;333
AAADHMMS;
AAADHMRS;338,339,340
AAADHNRT;341
AAADHNSS;
AAADIILR;
AAADILLP;
AAADILRU;344
AAADIMNS;345
AAADIMNY;345
AAADIRST;
AAADJMRS;
AAADKLMN;349
AAADKNSW;
AAADKRRV;350
AAADLMNQ;352
AAADLMNS;349,352
AAADLMSW;
AAADMNST;358
AAADMNTU;358
AAADMORT;359
AAADMPPP;360
AAADMPPS;360
AAADMRSS;339,361
AAADNRSS;115,216
AAADNRST;116,341
AAADSWYY;
AAAEEKRR;366
AAAEGISS;311,374
AAAEGLMX;378
AAAEGLRT;380
AAAEGLST;380
AAAEGNPP;314,383
AAAEGNPS;383
AAAEGRST;380,384
AAAEHLMT;
AAAEHLST;223
AAAEHMNT;387
AAAEHNPS;388
AAAEHPTU;389
AAAEIMNS;395
AAAEKKRT;401
AAAEKTWY;402
AAAELMMN;404
AAAELMPT;
AAAELMTX;319,405
AAAELNPT;403,408
AAAELRTV;411
AAAEMRST;413,414
AAAENNSS;
AAAENOPR;416
AAAENPRV;417
AAAENPST;408,418
AAAENSST;418,419
AAAEPRST;325,398,410,414,421,422
AAAERSWY;423
AAAERTWY;423
AAAFFLLS;
AAAFHHRT;425
AAAFHRST;425
AAAFINST;428
AAAFINUV;368,427,429
AAAFIRST;430
AAAFLLWY;431
AAAFMQRU;434
AAAFNRSS;
AAAFRSWY;
AAAGGLLN;436
AAAGGLNS;436
AAAGGLOP;437
AAAGHINR;439
AAAGHIPR;440
AAAGHIPS;440
AAAGHLNS;
AAAGHNNT;442
AAAGHNSS;443
AAAGHNST;442,443,444
AAAGHNTY;444
AAAGILMM;448
AAAGILNS;373,449
AAAGILPT;
AAAGILRT;447,451
AAAGIMMT;
AAAGINRR;455,456
AAAGINRS;148,439,455
AAAGINSZ;
AAAGISSS;374
AAAGJMSU;
AAAGKNRS;
AAAGLMMS;448
AAAGLMNS;449
AAAGLMST;458
AAAGLNSS;328
AAAGLNTV;459
AAAGLRRW;461
AAAGLRST;380,451,462
