AAAABCLLV;2
AAAABCLMN;3
AAAABCLSZ;
AAAABENNS;
AAAABFQSU;
AAAABGNNU;6
AAAABIKLL;7
AAAABJLMY;8
AAAABKPSS;
AAAABLMMT;
AAAACCHMT;9
AAAACCHRR;10
AAAACCRRS;10
AAAACDIMM;12
AAAACDJNR;13
AAAACDKLY;
AAAACEHNP;15
AAAACGILT;17
AAAACGNRS;
AAAACHILS;18
AAAACHKKL;19
AAAACHSUY;20
AAAACIRRU;22,23
AAAACJRRS;
AAAACLMST;
AAAACLRRZ;25
AAAACMNRT;24,26
AAAACNRSS;
AAAADHMRZ;28
AAAADMSTV;
AAAADSTVV;
AAAAGLPRT;35
AAAAHHJMR;37
AAAAHJMRS;37
AAAAHKPPW;39
AAAAHMNRT;40
AAAAHNRSU;
AAAAHNSSV;41
AAAAIKKKW;42
AAAAIKMNS;
AAAAILLPR;44
AAAAILNPS;45
AAAAIMPRS;
AAAAIMRSU;47
AAAAIRSTX;
AAAAJKRRS;
AAAAKKMST;
AAAAKKNST;
AAAAKKSVV;
AAAAKKSWW;
AAAAKLMST;
AAAALLSVV;
AAAAMMSTT;
AAAAMNPRY;50
AAAAMPRTT;51,52
AAAANRRTT;53
AAAANSSSV;41
AAAAPPRRS;
AAAARRSSS;54
AAABBCHLS;
AAABBDELR;
AAABBHKLS;
AAABBINRR;58
AAABCCHHR;59
AAABCCHLN;60
AAABCCHNR;61
AAABCCITT;
AAABCCMSW;
AAABCCRST;
AAABCDIIT;66
AAABCDRRU;67
AAABCEIRS;64
AAABCELTT;69,71,74
AAABCELTU;73
AAABCELTV;
AAABCEMRT;75
AAABCENRS;1,76
AAABCESST;
AAABCHIRS;
AAABCHIRT;79
AAABCHLSU;
AAABCHMSU;
AAABCHNNR;
AAABCHNRU;80
AAABCIKTT;
AAABCILNT;
AAABCIQTU;81
AAABCISST;
AAABCISTT;
AAABCKNNT;82
AAABCLMOR;84
AAABCLMRU;83
AAABCLNOT;85
AAABCNORR;86
AAABCNRRS;86
AAABCNRSU;80
AAABCPRSY;
AAABDDEST;
AAABDEEHH;89,90
AAABDEGLY;
AAABDEGRV;91
AAABDEHHS;89
AAABDELPT;
AAABDELRW;
AAABDENRS;95
AAABDESST;
AAABDHHIS;97
AAABDHHIY;97
AAABDHHLS;
AAABDHISY;97
AAABDIKRS;
AAABDILLS;98
AAABDINNT;99
AAABDKNST;
AAABDNNNS;
AAABDNRSS;95
AAABDNRST;
AAABDOQRU;102
AAABEEMNO;
AAABEGHLL;108
AAABEGHLS;108
AAABEGLLS;108
AAABEGLSY;
AAABEGMSS;111
AAABEGRUY;112
AAABEHNRS;
AAABEHRST;
AAABEILLV;
AAABEILMN;115
AAABEINOR;
AAABEKPRR;119
AAABEKRWY;120
AAABEKSST;
AAABELLMR;
AAABELLPT;
AAABELMSS;
AAABELOPR;
AAABELRST;124,127,128
AAABELSSY;
AAABEPRSS;
AAABERSST;127
AAABERSSX;
AAABGHILL;130,131
AAABGHILS;130,132
AAABGHILY;131,132
AAABGILLS;130,134
AAABGILLY;131,134
AAABGILSY;132,134
AAABGINRS;133,135
AAABGLNSY;
AAABGLORR;136
AAABGLORS;136
AAABGMNQS;
AAABGRSTU;
AAABHLRST;139,140
AAABHLRTZ;140
AAABHMSST;
AAABIKSST;
AAABILLTV;
AAABILLVY;
AAABILSTT;
AAABINNSU;
AAABIPRSS;
AAABIPSSS;
AAABJLMNO;146
AAABKPSSS;
AAABLLPTY;
AAABLOPRS;
AAABLPRST;148
AAABMNRTU;149
AAABRRSWY;151
AAACCDELV;154,156
AAACCDEPR;
AAACCDHMN;157
AAACCDILR;158
AAACCDRSU;159
AAACCEHIM;160
AAACCELLN;
AAACCELNN;
AAACCELNV;166
AAACCELRT;
AAACCENRV;169
AAACCEPRS;
AAACCFLOT;
AAACCHILR;170
AAACCHKMT;171,172
AAACCHMPS;
AAACCHNNR;173
AAACCILLU;177
AAACCILTT;
AAACCIMMS;
AAACCIRTT;181,183
AAACCLMNO;184
AAACCLMST;185
AAACCRSTT;183
AAACDDEMM;
AAACDDILN;
AAACDDRST;
AAACDEHRR;188
AAACDEHRZ;189
AAACDEIMS;190,192
AAACDEINR;193
AAACDELMS;
AAACDEMNS;192
AAACDEMRS;
AAACDENRS;193
AAACDENRV;195
AAACDEQSU;
AAACDHIKT;199
AAACDHNRS;201
AAACDIINR;202
AAACDILNR;206
AAACDINRS;193,202,206
AAACDLMRU;209
AAACDLRST;
AAACDNNOS;
AAACDNRSS;201
AAACDOSTV;
AAACEEHLP;
AAACEENRS;213
AAACEGSTU;
AAACEHLNP;217
AAACEHLNV;187,218
AAACEHLST;
AAACEHNRS;
AAACEILRV;
AAACEIMNT;219
AAACEIMPR;16,221
AAACEIMTT;222
AAACEINOR;
AAACEINRS;193,224,226,227
AAACEIRSS;227,228
AAACELSST;167,233
AAACEMMNR;
AAACENRRV;212,235,236
AAACEPQSU;237
AAACEPRSX;
AAACFILNT;
AAACGHNRS;
AAACGHRSU;
AAACGILNT;
AAACGILRS;247
AAACGILSU;248
AAACGINST;
AAACGLLSW;251
AAACGLSSW;251
AAACGMNPS;
AAACGMNRS;249
AAACHIIST;253
AAACHILNR;78,170
AAACHIMNT;254,255
AAACHIMNU;216,256
AAACHIMST;255,257
AAACHINPS;
AAACHINRS;
AAACHIPSS;
AAACHKPRR;261
AAACHLMNT;262
AAACHLNRT;265
AAACHLPRR;266
AAACHLRRT;
AAACHNPTY;267,268
AAACHNRST;265,269
AAACHOPRT;270
AAACHOSUY;271
AAACIIRSS;273
AAACILLMR;277
AAACILLNN;
AAACILLRV;
AAACILMNS;
