AABB;ABBA,BABA
AABC;ABAC,CABA
AABL;ALBA,BAAL
AABR;ARBA
AABS;ABAS,BAAS
AABY;YABA
AACC;ACCA,CACA
AACI;ACAI
AACM;CAMA,MACA
AACP;CAPA,PACA
AACR;RACA
AACS;CAAS,CASA
AACT;ACTA
AACV;CAVA
AACW;WAAC
AADD;DADA
AADI;AIDA
AADL;DAAL
AADN;NADA
AADT;DATA
AADW;ADAW
AAEL;ALAE
AAER;AREA
AAES;ASEA
AAFH;HAAF
AAFJ;JAFA
AAFL;ALFA
AAFN;FAAN
AAFR;AFAR
AAFS;FAAS
AAFV;FAVA
AAGG;GAGA
AAGH;AGHA
AAGI;AIGA
AAGJ;JAGA
AAGL;ALGA,GALA
AAGM;AGMA,GAMA
AAGN;ANGA,NAGA
AAGR;AGAR,RAGA
AAGS;AGAS,SAAG,SAGA
AAHH;HAHA
AAHK;HAKA
AAHM;AMAH,MAHA
AAHR;HAAR
AAHS;AAHS
AAHT;TAHA
AAHW;WAAH
AAHY;AYAH
AAIM;AMIA
AAIR;ARIA,RAIA
AAIS;AIAS
AAJP;JAAP
AAJR;AJAR,RAJA
AAJV;JAVA
AAKK;KAKA
AAKL;KAAL
AAKM;KAMA
AAKN;KANA
AAKP;KAPA
AAKR;ARAK,KARA
AAKS;AKAS,KAAS
AAKT;KATA,TAKA
AAKV;KAVA
AAKW;KAWA,WAKA
AALM;ALMA,AMLA,LAMA,MALA
AALN;ALAN,ANAL,LANA,NALA
AALP;ALAP,PAAL
AALR;ALAR
AALS;AALS,ALAS
AALT;TAAL,TALA
AALU;AULA
AALV;AVAL,LAVA
AALX;AXAL
AALY;ALAY
AAMM;MAMA
AAMN;MANA,NAAM
AAMR;MAAR,MARA
AAMS;AMAS,MAAS,MASA,SAMA
AAMT;ATMA
AAMY;MAYA
AANN;ANAN,ANNA,NAAN,NANA
AANO;ANOA
AANP;NAPA,PAAN
AANR;ARNA,RANA
AANS;ANAS,ANSA
AANT;ANTA,TANA
AANZ;AZAN
AAPP;PAPA
AAPR;ARPA,PARA
AAPT;ATAP,TAPA
AAPU;PAUA
AAPW;PAWA
AAPY;APAY
AAQU;AQUA
AARR;ARAR
AARS;ASAR
AART;RATA,TARA
AARU;AURA
AARV;VARA
AARY;RAYA,YAAR
AASU;AUAS
AASV;AVAS,VASA
AATU;ATUA
AATV;TAVA
AATW;TAWA
AATX;TAXA
AAWW;WAWA
AAWY;AWAY
ABBE;ABBE,BABE
ABBL;BLAB
ABBO;BOAB,BOBA
ABBR;BARB
ABBS;ABBS
ABBU;BABU,BUBA
ABBY;BABY
ABCH;BACH
ABCK;BACK
ABCN;BANC
ABCR;CARB,CRAB
ABCS;BACS,CABS,SCAB
ABDE;ABED,BADE,BEAD
ABDI;ABID
ABDL;BALD,BLAD
ABDN;BAND
ABDO;DOAB
ABDR;BARD,BRAD,DARB,DRAB
ABDS;BADS,DABS
ABDU;BAUD,BUDA,DAUB
ABDW;BAWD
ABEK;BAKE,BEAK
ABEL;ABLE,ALBE,BAEL,BALE,BEAL,BLAE
ABEM;BEAM,BEMA,MABE
ABEN;BANE,BEAN,NABE
ABEP;PEBA
ABER;ABER,BARE,BEAR,BRAE
ABES;BAES,BASE,SABE
ABET;ABET,BATE,BEAT,BETA
ABEU;BEAU
ABEY;ABYE,BAYE
ABFF;BAFF
ABFL;FLAB
ABFR;BARF,FRAB
ABFS;FABS
ABFT;BAFT
ABGH;BAGH
ABGI;BIGA
ABGL;BLAG
ABGM;GAMB
ABGN;BANG
ABGR;BRAG,GARB,GRAB
ABGS;BAGS,GABS
ABGY;GABY
ABHI;BHAI
ABHL;BLAH
ABHS;BASH
ABHT;BAHT,BATH,BHAT
ABHU;BAHU,HABU
ABIL;BAIL
ABIM;BIMA,IAMB
ABIN;BANI
ABIO;OBIA
ABIR;ABRI,RABI,RIBA
ABIS;BIAS,ISBA
ABIT;BAIT,TABI
ABJM;JAMB
ABJS;JABS
ABJU;BAJU,JUBA
ABKL;BALK
ABKN;BANK,NABK
ABKO;BOAK
ABKR;BARK,BRAK,KBAR,KRAB
ABKS;BASK,KABS
ABKU;BAUK
ABKW;BAWK
ABLL;BALL
ABLM;BALM,BLAM,LAMB
ABLO;BOLA
ABLS;ALBS,BALS,LABS,SLAB
ABLT;BLAT
ABLU;BALU
ABLW;BAWL,BLAW
ABLY;ABLY,BLAY
ABMO;AMBO,BOMA
ABMR;BARM
ABMS;BAMS
ABNO;BONA
ABNR;BARN,BRAN
ABNS;BANS,NABS,SNAB
ABNT;BANT
ABNU;BUNA
ABNW;BAWN
ABOR;BOAR,BORA
ABOS;ABOS,BAOS,BOAS,OBAS,SOBA
ABOT;BOAT,BOTA
ABPR;BARP,BRAP
ABPS;BAPS
ABPU;BAPU
ABRS;ARBS,BARS,BRAS
ABRT;BRAT
ABRU;BAUR,BURA
ABRW;BAWR,BRAW,WARB
ABRY;BRAY
ABSS;BASS,SABS
ABST;BAST,BATS,STAB,TABS
ABSU;SUBA
ABSW;SWAB,WABS
ABSY;ABYS,BAYS
ABTT;BATT
ABTU;ABUT,BUAT,TABU,TUBA
ABTY;BAYT
ABZZ;BAZZ
ACCE;CECA
ACCK;CACK
ACCO;COCA
ACDE;ACED,CADE,DACE,ECAD
ACDH;CHAD
ACDI;ACID,CADI,CAID
ACDK;DACK
ACDL;CLAD
ACDO;CODA
ACDR;CARD,DRAC
ACDS;CADS,SCAD
ACEF;CAFE,FACE
ACEG;CAGE
ACEH;ACHE,EACH
ACEK;CAKE
ACEL;ALEC,LACE
ACEM;ACME,CAME,MACE
ACEN;ACNE,ANCE,CANE
ACEP;CAPE,PACE
ACER;ACER,ACRE,CARE,RACE
ACES;ACES,AESC,CASE,CEAS
ACET;CATE,TACE
ACEV;CAVE
ACFF;CAFF
ACFL;CALF
ACFS;CAFS
ACFT;FACT
ACFU;CAUF
ACGH;GACH
ACGL;CLAG
ACGN;CANG
ACGR;CRAG
ACGS;CAGS,SCAG
ACGY;CAGY
ACHI;CHAI,CHIA
ACHK;HACK
ACHL;CHAL
ACHM;CHAM,MACH
ACHN;NACH
ACHO;CHAO
ACHP;CAPH,CHAP
ACHR;ARCH,CHAR,RACH
ACHS;CASH,CHAS
ACHT;CHAT,TACH
ACHV;CHAV
ACHW;CHAW
ACHY;ACHY,CHAY
ACHZ;CAZH
ACIL;LAIC
ACIM;CAMI,MICA
ACIN;CAIN
ACIO;CIAO
ACIP;CAPI,PICA
ACIR;CRIA
ACIS;ASCI,SAIC
ACJK;JACK
ACKK;KACK
ACKL;CALK,LACK
ACKM;MACK
ACKP;PACK
ACKR;CARK,RACK
ACKS;CASK,SACK
ACKT;TACK
ACKU;CAUK
ACKW;CAWK,WACK
ACKY;CAKY,YACK
ACKZ;ZACK
ACLL;CALL
ACLM;CALM,CLAM
ACLN;CLAN
ACLO;ALCO,CALO,COAL,COLA,LOCA
ACLP;CALP,CLAP
ACLR;CARL
ACLS;CALS,LACS
ACLT;CLAT,TALC
ACLU;CAUL
ACLW;CLAW
ACLX;CALX
ACLY;ACYL,CLAY,LACY
ACMO;CAMO,COMA
ACMP;CAMP
ACMR;CRAM,MARC
ACMS;CAMS,MACS,SCAM
ACMU;CAUM
ACMY;CYMA
ACNN;CANN
ACNR;CARN,CRAN,NARC
ACNS;CANS,SCAN
ACNT;CANT
ACNY;CANY,CYAN
ACOP;CAPO,PACO
ACOR;ACRO,ARCO,ORCA
ACOS;OCAS,SOCA
