AAABC;ABACA
AAABK;ABAKA
AAABR;ARABA
AAABY;ABAYA
AAAFR;AFARA
AAAGM;AGAMA
AAAKM;KAAMA
AAALP;ALAAP,ALAPA
AAANN;ANANA
AAANS;ASANA
AAANT;ANATA
AAATT;TAATA
AAAYY;AYAYA
AABBD;DABBA
AABBG;GABBA
AABBK;BABKA,KABAB
AABBS;ABBAS,BABAS
AABBY;YABBA
AABCC;BACCA
AABCH;BACHA
AABCI;ABACI
AABCK;ABACK
AABCL;CABAL
AABCR;BARCA
AABCS;ABACS,CABAS
AABDE;BAAED
AABDH;DHABA
AABDL;LABDA
AABDN;ABAND,BANDA
AABEM;ABEAM,AMEBA
AABER;ABEAR
AABES;ABASE
AABET;ABATE
AABFT;ABAFT
AABGM;GAMBA
AABHM;HAMBA
AABHS;ABASH,SABHA
AABIL;LABIA
AABIN;BANIA
AABIR;BRAAI
AABIS;BAISA
AABIZ;BAIZA
AABJN;BAJAN
AABJR;BAJRA
AABKN;BANAK
AABKR;BAKRA,KABAR
AABKS;ABASK
AABLN;BANAL,NABLA
AABLR;LABRA
AABLS;ALBAS,BAALS,BALAS,BALSA,BASAL,SABAL
AABLT;TABLA
AABMM;MAMBA
AABMN;AMBAN
AABMO;ABOMA
AABMP;ABAMP
AABMR;ABRAM
AABMS;SAMBA
AABNS;BASAN
AABNU;ABUNA
AABNW;BWANA,NAWAB
AABNY;BANYA
AABOR;AROBA
AABRR;BARRA
AABRS;ARBAS,SABRA
AABRT;RABAT
AABRV;BRAVA
AABRY;ABRAY
AABRZ;BAZAR,BRAZA,ZABRA
AABST;BASTA
AABSU;SAUBA
AABSY;YABAS
AABTT;BATTA
AACCE;CAECA
AACCO;CACAO
AACCS;ACCAS,CACAS
AACCY;YACCA
AACDE;CAAED
AACDH;DACHA
AACDU;CAUDA
AACEI;AECIA
AACEP;APACE
AACER;ARECA
AACET;ACETA
AACFI;FACIA
AACFT;FACTA
AACHK;KACHA
AACHN;CHANA
AACHP;PACHA
AACHR;ACHAR,CHARA
AACHY;CHAYA
AACIR;ACARI
AACIS;ACAIS
AACJL;JACAL
AACKL;ALACK
AACKY;YACKA
AACLL;CALLA
AACLN;CANAL
AACLO;COALA
AACLP;CALPA
AACLR;CRAAL
AACLS;SCALA
AACMN;CAMAN
AACMS;CAMAS,MACAS
AACMW;MACAW
AACNN;CANNA
AACNT;TACAN
AACPR;CARAP
AACPS;CAPAS,PACAS,SCAPA
AACPT;PACTA
AACRS;SACRA
AACRT;CARAT,CARTA
AACSS;CASAS
AACSU;CAUSA
AACSV;CAVAS
AACSW;WAACS
AACUV;VACUA
AADDH;DADAH
AADDR;ADRAD
AADDS;DADAS
AADDU;AUDAD
AADDX;ADDAX
AADEG;ADAGE
AADEH;AAHED,AHEAD
AADEL;ALDEA
AADEM;MAAED
AADER;AREAD
AADFL;AFALD
AADFR;DARAF,FARAD
AADGG;DAGGA
AADGR;DARGA,GARDA
AADHL;HADAL
AADHN;ADHAN
AADHW;DAWAH
AADIK;KADAI
AADIN;NAIAD
AADIP;APAID
AADIS;AIDAS
AADIZ;ZAIDA
AADLN;ALAND
AADLS;DAALS,SALAD
AADLT;DATAL
AADLW;DWAAL
AADMM;MADAM
AADMN;ADMAN,DAMAN
AADMP;PADMA
AADMR;DAMAR,DRAMA
AADNP;PANDA
AADNS;NADAS
AADNV;VANDA
AADNY;DAYAN
AADPT;ADAPT
AADPY;APAYD
AADRR;RADAR
AADRW;AWARD
AADSW;ADAWS
AADSY;ADAYS
AADSZ;SADZA
AADTY;ADYTA
AAEER;AREAE
AAEFN;FAENA
AAEFR;AFEAR
AAEGL;ALGAE,GALEA
AAEGP;AGAPE,APAGE
AAEGT;AGATE
AAEGV;AGAVE
AAEGZ;AGAZE
